kdcode,dt
AARTIIND.NS,2024-04-15
ADANIENT.NS,2024-04-15
APOLLOTYRE.NS,2024-04-15
ASHOKLEY.NS,2024-04-15
ASIANPAINT.NS,2024-04-15
AUROPHARMA.NS,2024-04-15
AXISBANK.NS,2024-04-15
BAJFINANCE.NS,2024-04-15
BATAINDIA.NS,2024-04-15
BDL.NS,2024-04-15
BEML.NS,2024-04-15
BHARATFORG.NS,2024-04-15
BHARTIARTL.NS,2024-04-15
BHEL.NS,2024-04-15
BIOCON.NS,2024-04-15
BPCL.NS,2024-04-15
BRITANNIA.NS,2024-04-15
BSOFT.NS,2024-04-15
CDSL.NS,2024-04-15
CESC.NS,2024-04-15
CIPLA.NS,2024-04-15
COALINDIA.NS,2024-04-15
COFORGE.NS,2024-04-15
CONCOR.NS,2024-04-15
CUMMINSIND.NS,2024-04-15
DIXON.NS,2024-04-15
DRREDDY.NS,2024-04-15
EICHERMOT.NS,2024-04-15
GODREJPROP.NS,2024-04-15
GOLDBEES.NS,2024-04-15
GRSE.NS,2024-04-15
HAVELLS.NS,2024-04-15
HCLTECH.NS,2024-04-15
HDFCAMC.NS,2024-04-15
HDFCBANK.NS,2024-04-15
HEROMOTOCO.NS,2024-04-15
HINDALCO.NS,2024-04-15
HINDUNILVR.NS,2024-04-15
ICICIBANK.NS,2024-04-15
IDFCFIRSTB.NS,2024-04-15
IEX.NS,2024-04-15
IIFL.NS,2024-04-15
INDIGO.NS,2024-04-15
INDUSTOWER.NS,2024-04-15
INFY.NS,2024-04-15
IRCON.NS,2024-04-15
ITC.NS,2024-04-15
JSWSTEEL.NS,2024-04-15
KOTAKBANK.NS,2024-04-15
LALPATHLAB.NS,2024-04-15
LAURUSLABS.NS,2024-04-15
LUPIN.NS,2024-04-15
M&M.NS,2024-04-15
MANAPPURAM.NS,2024-04-15
MARICO.NS,2024-04-15
MARUTI.NS,2024-04-15
MCX.NS,2024-04-15
MON100.NS,2024-04-15
MPHASIS.NS,2024-04-15
MRF.NS,2024-04-15
MUTHOOTFIN.NS,2024-04-15
NAVINFLUOR.NS,2024-04-15
NESTLEIND.NS,2024-04-15
NIFTYBEES.NS,2024-04-15
OBEROIRLTY.NS,2024-04-15
OIL.NS,2024-04-15
ONGC.NS,2024-04-15
PAGEIND.NS,2024-04-15
PERSISTENT.NS,2024-04-15
PIDILITIND.NS,2024-04-15
PIIND.NS,2024-04-15
POLYCAB.NS,2024-04-15
POONAWALLA.NS,2024-04-15
PRESTIGE.NS,2024-04-15
RAYMOND.NS,2024-04-15
RELIANCE.NS,2024-04-15
RITES.NS,2024-04-15
RVNL.NS,2024-04-15
SAIL.NS,2024-04-15
SBIN.NS,2024-04-15
SHREECEM.NS,2024-04-15
SIEMENS.NS,2024-04-15
SRF.NS,2024-04-15
SUNPHARMA.NS,2024-04-15
SUZLON.NS,2024-04-15
TATACHEM.NS,2024-04-15
TATACOMM.NS,2024-04-15
TATAELXSI.NS,2024-04-15
TATASTEEL.NS,2024-04-15
TCS.NS,2024-04-15
TECHM.NS,2024-04-15
TITAN.NS,2024-04-15
TRIDENT.NS,2024-04-15
TVSMOTOR.NS,2024-04-15
VOLTAS.NS,2024-04-15
WIPRO.NS,2024-04-15
ZENSARTECH.NS,2024-04-15
