kdcode,dt
AARTIIND.NS,2020-07-14
ADANIENT.NS,2020-07-14
APOLLOTYRE.NS,2020-07-14
ASHOKLEY.NS,2020-07-14
ASIANPAINT.NS,2020-07-14
AUROPHARMA.NS,2020-07-14
AXISBANK.NS,2020-07-14
BAJFINANCE.NS,2020-07-14
BATAINDIA.NS,2020-07-14
BDL.NS,2020-07-14
BEML.NS,2020-07-14
BHARATFORG.NS,2020-07-14
BHARTIARTL.NS,2020-07-14
BHEL.NS,2020-07-14
BIOCON.NS,2020-07-14
BPCL.NS,2020-07-14
BRITANNIA.NS,2020-07-14
BSOFT.NS,2020-07-14
CDSL.NS,2020-07-14
CESC.NS,2020-07-14
CIPLA.NS,2020-07-14
COALINDIA.NS,2020-07-14
COFORGE.NS,2020-07-14
CONCOR.NS,2020-07-14
CUMMINSIND.NS,2020-07-14
DIXON.NS,2020-07-14
DRREDDY.NS,2020-07-14
EICHERMOT.NS,2020-07-14
GODREJPROP.NS,2020-07-14
GOLDBEES.NS,2020-07-14
GRSE.NS,2020-07-14
HAVELLS.NS,2020-07-14
HCLTECH.NS,2020-07-14
HDFCAMC.NS,2020-07-14
HDFCBANK.NS,2020-07-14
HEROMOTOCO.NS,2020-07-14
HINDALCO.NS,2020-07-14
HINDUNILVR.NS,2020-07-14
ICICIBANK.NS,2020-07-14
IDFCFIRSTB.NS,2020-07-14
IEX.NS,2020-07-14
IIFL.NS,2020-07-14
INDIGO.NS,2020-07-14
INDUSTOWER.NS,2020-07-14
INFY.NS,2020-07-14
IRCON.NS,2020-07-14
ITC.NS,2020-07-14
JSWSTEEL.NS,2020-07-14
KOTAKBANK.NS,2020-07-14
LALPATHLAB.NS,2020-07-14
LAURUSLABS.NS,2020-07-14
LUPIN.NS,2020-07-14
M&M.NS,2020-07-14
MANAPPURAM.NS,2020-07-14
MARICO.NS,2020-07-14
MARUTI.NS,2020-07-14
MCX.NS,2020-07-14
MON100.NS,2020-07-14
MPHASIS.NS,2020-07-14
MRF.NS,2020-07-14
MUTHOOTFIN.NS,2020-07-14
NAVINFLUOR.NS,2020-07-14
NESTLEIND.NS,2020-07-14
NIFTYBEES.NS,2020-07-14
OBEROIRLTY.NS,2020-07-14
OIL.NS,2020-07-14
ONGC.NS,2020-07-14
PAGEIND.NS,2020-07-14
PERSISTENT.NS,2020-07-14
PIDILITIND.NS,2020-07-14
PIIND.NS,2020-07-14
POLYCAB.NS,2020-07-14
POONAWALLA.NS,2020-07-14
PRESTIGE.NS,2020-07-14
RAYMOND.NS,2020-07-14
RELIANCE.NS,2020-07-14
RITES.NS,2020-07-14
RVNL.NS,2020-07-14
SAIL.NS,2020-07-14
SBIN.NS,2020-07-14
SHREECEM.NS,2020-07-14
SIEMENS.NS,2020-07-14
SRF.NS,2020-07-14
SUNPHARMA.NS,2020-07-14
SUZLON.NS,2020-07-14
TATACHEM.NS,2020-07-14
TATACOMM.NS,2020-07-14
TATAELXSI.NS,2020-07-14
TATASTEEL.NS,2020-07-14
TCS.NS,2020-07-14
TECHM.NS,2020-07-14
TITAN.NS,2020-07-14
TRIDENT.NS,2020-07-14
TVSMOTOR.NS,2020-07-14
VOLTAS.NS,2020-07-14
WIPRO.NS,2020-07-14
ZENSARTECH.NS,2020-07-14
