kdcode,dt
AARTIIND.NS,2024-03-20
ADANIENT.NS,2024-03-20
APOLLOTYRE.NS,2024-03-20
ASHOKLEY.NS,2024-03-20
ASIANPAINT.NS,2024-03-20
AUROPHARMA.NS,2024-03-20
AXISBANK.NS,2024-03-20
BAJFINANCE.NS,2024-03-20
BATAINDIA.NS,2024-03-20
BDL.NS,2024-03-20
BEML.NS,2024-03-20
BHARATFORG.NS,2024-03-20
BHARTIARTL.NS,2024-03-20
BHEL.NS,2024-03-20
BIOCON.NS,2024-03-20
BPCL.NS,2024-03-20
BRITANNIA.NS,2024-03-20
BSOFT.NS,2024-03-20
CDSL.NS,2024-03-20
CESC.NS,2024-03-20
CIPLA.NS,2024-03-20
COALINDIA.NS,2024-03-20
COFORGE.NS,2024-03-20
CONCOR.NS,2024-03-20
CUMMINSIND.NS,2024-03-20
DIXON.NS,2024-03-20
DRREDDY.NS,2024-03-20
EICHERMOT.NS,2024-03-20
GODREJPROP.NS,2024-03-20
GOLDBEES.NS,2024-03-20
GRSE.NS,2024-03-20
HAVELLS.NS,2024-03-20
HCLTECH.NS,2024-03-20
HDFCAMC.NS,2024-03-20
HDFCBANK.NS,2024-03-20
HEROMOTOCO.NS,2024-03-20
HINDALCO.NS,2024-03-20
HINDUNILVR.NS,2024-03-20
ICICIBANK.NS,2024-03-20
IDFCFIRSTB.NS,2024-03-20
IEX.NS,2024-03-20
IIFL.NS,2024-03-20
INDIGO.NS,2024-03-20
INDUSTOWER.NS,2024-03-20
INFY.NS,2024-03-20
IRCON.NS,2024-03-20
ITC.NS,2024-03-20
JSWSTEEL.NS,2024-03-20
KOTAKBANK.NS,2024-03-20
LALPATHLAB.NS,2024-03-20
LAURUSLABS.NS,2024-03-20
LUPIN.NS,2024-03-20
M&M.NS,2024-03-20
MANAPPURAM.NS,2024-03-20
MARICO.NS,2024-03-20
MARUTI.NS,2024-03-20
MCX.NS,2024-03-20
MON100.NS,2024-03-20
MPHASIS.NS,2024-03-20
MRF.NS,2024-03-20
MUTHOOTFIN.NS,2024-03-20
NAVINFLUOR.NS,2024-03-20
NESTLEIND.NS,2024-03-20
NIFTYBEES.NS,2024-03-20
OBEROIRLTY.NS,2024-03-20
OIL.NS,2024-03-20
ONGC.NS,2024-03-20
PAGEIND.NS,2024-03-20
PERSISTENT.NS,2024-03-20
PIDILITIND.NS,2024-03-20
PIIND.NS,2024-03-20
POLYCAB.NS,2024-03-20
POONAWALLA.NS,2024-03-20
PRESTIGE.NS,2024-03-20
RAYMOND.NS,2024-03-20
RELIANCE.NS,2024-03-20
RITES.NS,2024-03-20
RVNL.NS,2024-03-20
SAIL.NS,2024-03-20
SBIN.NS,2024-03-20
SHREECEM.NS,2024-03-20
SIEMENS.NS,2024-03-20
SRF.NS,2024-03-20
SUNPHARMA.NS,2024-03-20
SUZLON.NS,2024-03-20
TATACHEM.NS,2024-03-20
TATACOMM.NS,2024-03-20
TATAELXSI.NS,2024-03-20
TATASTEEL.NS,2024-03-20
TCS.NS,2024-03-20
TECHM.NS,2024-03-20
TITAN.NS,2024-03-20
TRIDENT.NS,2024-03-20
TVSMOTOR.NS,2024-03-20
VOLTAS.NS,2024-03-20
WIPRO.NS,2024-03-20
ZENSARTECH.NS,2024-03-20
