kdcode,dt
AARTIIND.NS,2024-08-30
ADANIENT.NS,2024-08-30
APOLLOTYRE.NS,2024-08-30
ASHOKLEY.NS,2024-08-30
ASIANPAINT.NS,2024-08-30
AUROPHARMA.NS,2024-08-30
AXISBANK.NS,2024-08-30
BAJFINANCE.NS,2024-08-30
BATAINDIA.NS,2024-08-30
BDL.NS,2024-08-30
BEML.NS,2024-08-30
BHARATFORG.NS,2024-08-30
BHARTIARTL.NS,2024-08-30
BHEL.NS,2024-08-30
BIOCON.NS,2024-08-30
BPCL.NS,2024-08-30
BRITANNIA.NS,2024-08-30
BSOFT.NS,2024-08-30
CDSL.NS,2024-08-30
CESC.NS,2024-08-30
CIPLA.NS,2024-08-30
COALINDIA.NS,2024-08-30
COFORGE.NS,2024-08-30
CONCOR.NS,2024-08-30
CUMMINSIND.NS,2024-08-30
DIXON.NS,2024-08-30
DRREDDY.NS,2024-08-30
EICHERMOT.NS,2024-08-30
GODREJPROP.NS,2024-08-30
GOLDBEES.NS,2024-08-30
GRSE.NS,2024-08-30
HAVELLS.NS,2024-08-30
HCLTECH.NS,2024-08-30
HDFCAMC.NS,2024-08-30
HDFCBANK.NS,2024-08-30
HEROMOTOCO.NS,2024-08-30
HINDALCO.NS,2024-08-30
HINDUNILVR.NS,2024-08-30
ICICIBANK.NS,2024-08-30
IDFCFIRSTB.NS,2024-08-30
IEX.NS,2024-08-30
IIFL.NS,2024-08-30
INDIGO.NS,2024-08-30
INDUSTOWER.NS,2024-08-30
INFY.NS,2024-08-30
IRCON.NS,2024-08-30
ITC.NS,2024-08-30
JSWSTEEL.NS,2024-08-30
KOTAKBANK.NS,2024-08-30
LALPATHLAB.NS,2024-08-30
LAURUSLABS.NS,2024-08-30
LUPIN.NS,2024-08-30
M&M.NS,2024-08-30
MANAPPURAM.NS,2024-08-30
MARICO.NS,2024-08-30
MARUTI.NS,2024-08-30
MCX.NS,2024-08-30
MON100.NS,2024-08-30
MPHASIS.NS,2024-08-30
MRF.NS,2024-08-30
MUTHOOTFIN.NS,2024-08-30
NAVINFLUOR.NS,2024-08-30
NESTLEIND.NS,2024-08-30
NIFTYBEES.NS,2024-08-30
OBEROIRLTY.NS,2024-08-30
OIL.NS,2024-08-30
ONGC.NS,2024-08-30
PAGEIND.NS,2024-08-30
PERSISTENT.NS,2024-08-30
PIDILITIND.NS,2024-08-30
PIIND.NS,2024-08-30
POLYCAB.NS,2024-08-30
POONAWALLA.NS,2024-08-30
PRESTIGE.NS,2024-08-30
RAYMOND.NS,2024-08-30
RELIANCE.NS,2024-08-30
RITES.NS,2024-08-30
RVNL.NS,2024-08-30
SAIL.NS,2024-08-30
SBIN.NS,2024-08-30
SHREECEM.NS,2024-08-30
SIEMENS.NS,2024-08-30
SRF.NS,2024-08-30
SUNPHARMA.NS,2024-08-30
SUZLON.NS,2024-08-30
TATACHEM.NS,2024-08-30
TATACOMM.NS,2024-08-30
TATAELXSI.NS,2024-08-30
TATASTEEL.NS,2024-08-30
TCS.NS,2024-08-30
TECHM.NS,2024-08-30
TITAN.NS,2024-08-30
TRIDENT.NS,2024-08-30
TVSMOTOR.NS,2024-08-30
VOLTAS.NS,2024-08-30
WIPRO.NS,2024-08-30
ZENSARTECH.NS,2024-08-30
