kdcode,dt
AARTIIND.NS,2020-12-04
ADANIENT.NS,2020-12-04
APOLLOTYRE.NS,2020-12-04
ASHOKLEY.NS,2020-12-04
ASIANPAINT.NS,2020-12-04
AUROPHARMA.NS,2020-12-04
AXISBANK.NS,2020-12-04
BAJFINANCE.NS,2020-12-04
BATAINDIA.NS,2020-12-04
BDL.NS,2020-12-04
BEML.NS,2020-12-04
BHARATFORG.NS,2020-12-04
BHARTIARTL.NS,2020-12-04
BHEL.NS,2020-12-04
BIOCON.NS,2020-12-04
BPCL.NS,2020-12-04
BRITANNIA.NS,2020-12-04
BSOFT.NS,2020-12-04
CDSL.NS,2020-12-04
CESC.NS,2020-12-04
CIPLA.NS,2020-12-04
COALINDIA.NS,2020-12-04
COFORGE.NS,2020-12-04
CONCOR.NS,2020-12-04
CUMMINSIND.NS,2020-12-04
DIXON.NS,2020-12-04
DRREDDY.NS,2020-12-04
EICHERMOT.NS,2020-12-04
GODREJPROP.NS,2020-12-04
GOLDBEES.NS,2020-12-04
GRSE.NS,2020-12-04
HAVELLS.NS,2020-12-04
HCLTECH.NS,2020-12-04
HDFCAMC.NS,2020-12-04
HDFCBANK.NS,2020-12-04
HEROMOTOCO.NS,2020-12-04
HINDALCO.NS,2020-12-04
HINDUNILVR.NS,2020-12-04
ICICIBANK.NS,2020-12-04
IDFCFIRSTB.NS,2020-12-04
IEX.NS,2020-12-04
IIFL.NS,2020-12-04
INDIGO.NS,2020-12-04
INDUSTOWER.NS,2020-12-04
INFY.NS,2020-12-04
IRCON.NS,2020-12-04
ITC.NS,2020-12-04
JSWSTEEL.NS,2020-12-04
KOTAKBANK.NS,2020-12-04
LALPATHLAB.NS,2020-12-04
LAURUSLABS.NS,2020-12-04
LUPIN.NS,2020-12-04
M&M.NS,2020-12-04
MANAPPURAM.NS,2020-12-04
MARICO.NS,2020-12-04
MARUTI.NS,2020-12-04
MCX.NS,2020-12-04
MON100.NS,2020-12-04
MPHASIS.NS,2020-12-04
MRF.NS,2020-12-04
MUTHOOTFIN.NS,2020-12-04
NAVINFLUOR.NS,2020-12-04
NESTLEIND.NS,2020-12-04
NIFTYBEES.NS,2020-12-04
OBEROIRLTY.NS,2020-12-04
OIL.NS,2020-12-04
ONGC.NS,2020-12-04
PAGEIND.NS,2020-12-04
PERSISTENT.NS,2020-12-04
PIDILITIND.NS,2020-12-04
PIIND.NS,2020-12-04
POLYCAB.NS,2020-12-04
POONAWALLA.NS,2020-12-04
PRESTIGE.NS,2020-12-04
RAYMOND.NS,2020-12-04
RELIANCE.NS,2020-12-04
RITES.NS,2020-12-04
RVNL.NS,2020-12-04
SAIL.NS,2020-12-04
SBIN.NS,2020-12-04
SHREECEM.NS,2020-12-04
SIEMENS.NS,2020-12-04
SRF.NS,2020-12-04
SUNPHARMA.NS,2020-12-04
SUZLON.NS,2020-12-04
TATACHEM.NS,2020-12-04
TATACOMM.NS,2020-12-04
TATAELXSI.NS,2020-12-04
TATASTEEL.NS,2020-12-04
TCS.NS,2020-12-04
TECHM.NS,2020-12-04
TITAN.NS,2020-12-04
TRIDENT.NS,2020-12-04
TVSMOTOR.NS,2020-12-04
VOLTAS.NS,2020-12-04
WIPRO.NS,2020-12-04
ZENSARTECH.NS,2020-12-04
