kdcode,dt
AARTIIND.NS,2021-01-13
ADANIENT.NS,2021-01-13
APOLLOTYRE.NS,2021-01-13
ASHOKLEY.NS,2021-01-13
ASIANPAINT.NS,2021-01-13
AUROPHARMA.NS,2021-01-13
AXISBANK.NS,2021-01-13
BAJFINANCE.NS,2021-01-13
BATAINDIA.NS,2021-01-13
BDL.NS,2021-01-13
BEML.NS,2021-01-13
BHARATFORG.NS,2021-01-13
BHARTIARTL.NS,2021-01-13
BHEL.NS,2021-01-13
BIOCON.NS,2021-01-13
BPCL.NS,2021-01-13
BRITANNIA.NS,2021-01-13
BSOFT.NS,2021-01-13
CDSL.NS,2021-01-13
CESC.NS,2021-01-13
CIPLA.NS,2021-01-13
COALINDIA.NS,2021-01-13
COFORGE.NS,2021-01-13
CONCOR.NS,2021-01-13
CUMMINSIND.NS,2021-01-13
DIXON.NS,2021-01-13
DRREDDY.NS,2021-01-13
EICHERMOT.NS,2021-01-13
GODREJPROP.NS,2021-01-13
GOLDBEES.NS,2021-01-13
GRSE.NS,2021-01-13
HAVELLS.NS,2021-01-13
HCLTECH.NS,2021-01-13
HDFCAMC.NS,2021-01-13
HDFCBANK.NS,2021-01-13
HEROMOTOCO.NS,2021-01-13
HINDALCO.NS,2021-01-13
HINDUNILVR.NS,2021-01-13
ICICIBANK.NS,2021-01-13
IDFCFIRSTB.NS,2021-01-13
IEX.NS,2021-01-13
IIFL.NS,2021-01-13
INDIGO.NS,2021-01-13
INDUSTOWER.NS,2021-01-13
INFY.NS,2021-01-13
IRCON.NS,2021-01-13
ITC.NS,2021-01-13
JSWSTEEL.NS,2021-01-13
KOTAKBANK.NS,2021-01-13
LALPATHLAB.NS,2021-01-13
LAURUSLABS.NS,2021-01-13
LUPIN.NS,2021-01-13
M&M.NS,2021-01-13
MANAPPURAM.NS,2021-01-13
MARICO.NS,2021-01-13
MARUTI.NS,2021-01-13
MCX.NS,2021-01-13
MON100.NS,2021-01-13
MPHASIS.NS,2021-01-13
MRF.NS,2021-01-13
MUTHOOTFIN.NS,2021-01-13
NAVINFLUOR.NS,2021-01-13
NESTLEIND.NS,2021-01-13
NIFTYBEES.NS,2021-01-13
OBEROIRLTY.NS,2021-01-13
OIL.NS,2021-01-13
ONGC.NS,2021-01-13
PAGEIND.NS,2021-01-13
PERSISTENT.NS,2021-01-13
PIDILITIND.NS,2021-01-13
PIIND.NS,2021-01-13
POLYCAB.NS,2021-01-13
POONAWALLA.NS,2021-01-13
PRESTIGE.NS,2021-01-13
RAYMOND.NS,2021-01-13
RELIANCE.NS,2021-01-13
RITES.NS,2021-01-13
RVNL.NS,2021-01-13
SAIL.NS,2021-01-13
SBIN.NS,2021-01-13
SHREECEM.NS,2021-01-13
SIEMENS.NS,2021-01-13
SRF.NS,2021-01-13
SUNPHARMA.NS,2021-01-13
SUZLON.NS,2021-01-13
TATACHEM.NS,2021-01-13
TATACOMM.NS,2021-01-13
TATAELXSI.NS,2021-01-13
TATASTEEL.NS,2021-01-13
TCS.NS,2021-01-13
TECHM.NS,2021-01-13
TITAN.NS,2021-01-13
TRIDENT.NS,2021-01-13
TVSMOTOR.NS,2021-01-13
VOLTAS.NS,2021-01-13
WIPRO.NS,2021-01-13
ZENSARTECH.NS,2021-01-13
