kdcode,dt
AARTIIND.NS,2022-10-28
ADANIENT.NS,2022-10-28
APOLLOTYRE.NS,2022-10-28
ASHOKLEY.NS,2022-10-28
ASIANPAINT.NS,2022-10-28
AUROPHARMA.NS,2022-10-28
AXISBANK.NS,2022-10-28
BAJFINANCE.NS,2022-10-28
BATAINDIA.NS,2022-10-28
BDL.NS,2022-10-28
BEML.NS,2022-10-28
BHARATFORG.NS,2022-10-28
BHARTIARTL.NS,2022-10-28
BHEL.NS,2022-10-28
BIOCON.NS,2022-10-28
BPCL.NS,2022-10-28
BRITANNIA.NS,2022-10-28
BSOFT.NS,2022-10-28
CDSL.NS,2022-10-28
CESC.NS,2022-10-28
CIPLA.NS,2022-10-28
COALINDIA.NS,2022-10-28
COFORGE.NS,2022-10-28
CONCOR.NS,2022-10-28
CUMMINSIND.NS,2022-10-28
DIXON.NS,2022-10-28
DRREDDY.NS,2022-10-28
EICHERMOT.NS,2022-10-28
GODREJPROP.NS,2022-10-28
GOLDBEES.NS,2022-10-28
GRSE.NS,2022-10-28
HAVELLS.NS,2022-10-28
HCLTECH.NS,2022-10-28
HDFCAMC.NS,2022-10-28
HDFCBANK.NS,2022-10-28
HEROMOTOCO.NS,2022-10-28
HINDALCO.NS,2022-10-28
HINDUNILVR.NS,2022-10-28
ICICIBANK.NS,2022-10-28
IDFCFIRSTB.NS,2022-10-28
IEX.NS,2022-10-28
IIFL.NS,2022-10-28
INDIGO.NS,2022-10-28
INDUSTOWER.NS,2022-10-28
INFY.NS,2022-10-28
IRCON.NS,2022-10-28
ITC.NS,2022-10-28
JSWSTEEL.NS,2022-10-28
KOTAKBANK.NS,2022-10-28
LALPATHLAB.NS,2022-10-28
LAURUSLABS.NS,2022-10-28
LUPIN.NS,2022-10-28
M&M.NS,2022-10-28
MANAPPURAM.NS,2022-10-28
MARICO.NS,2022-10-28
MARUTI.NS,2022-10-28
MCX.NS,2022-10-28
MON100.NS,2022-10-28
MPHASIS.NS,2022-10-28
MRF.NS,2022-10-28
MUTHOOTFIN.NS,2022-10-28
NAVINFLUOR.NS,2022-10-28
NESTLEIND.NS,2022-10-28
NIFTYBEES.NS,2022-10-28
OBEROIRLTY.NS,2022-10-28
OIL.NS,2022-10-28
ONGC.NS,2022-10-28
PAGEIND.NS,2022-10-28
PERSISTENT.NS,2022-10-28
PIDILITIND.NS,2022-10-28
PIIND.NS,2022-10-28
POLYCAB.NS,2022-10-28
POONAWALLA.NS,2022-10-28
PRESTIGE.NS,2022-10-28
RAYMOND.NS,2022-10-28
RELIANCE.NS,2022-10-28
RITES.NS,2022-10-28
RVNL.NS,2022-10-28
SAIL.NS,2022-10-28
SBIN.NS,2022-10-28
SHREECEM.NS,2022-10-28
SIEMENS.NS,2022-10-28
SRF.NS,2022-10-28
SUNPHARMA.NS,2022-10-28
SUZLON.NS,2022-10-28
TATACHEM.NS,2022-10-28
TATACOMM.NS,2022-10-28
TATAELXSI.NS,2022-10-28
TATASTEEL.NS,2022-10-28
TCS.NS,2022-10-28
TECHM.NS,2022-10-28
TITAN.NS,2022-10-28
TRIDENT.NS,2022-10-28
TVSMOTOR.NS,2022-10-28
VOLTAS.NS,2022-10-28
WIPRO.NS,2022-10-28
ZENSARTECH.NS,2022-10-28
