kdcode,dt
AARTIIND.NS,2023-03-29
ADANIENT.NS,2023-03-29
APOLLOTYRE.NS,2023-03-29
ASHOKLEY.NS,2023-03-29
ASIANPAINT.NS,2023-03-29
AUROPHARMA.NS,2023-03-29
AXISBANK.NS,2023-03-29
BAJFINANCE.NS,2023-03-29
BATAINDIA.NS,2023-03-29
BDL.NS,2023-03-29
BEML.NS,2023-03-29
BHARATFORG.NS,2023-03-29
BHARTIARTL.NS,2023-03-29
BHEL.NS,2023-03-29
BIOCON.NS,2023-03-29
BPCL.NS,2023-03-29
BRITANNIA.NS,2023-03-29
BSOFT.NS,2023-03-29
CDSL.NS,2023-03-29
CESC.NS,2023-03-29
CIPLA.NS,2023-03-29
COALINDIA.NS,2023-03-29
COFORGE.NS,2023-03-29
CONCOR.NS,2023-03-29
CUMMINSIND.NS,2023-03-29
DIXON.NS,2023-03-29
DRREDDY.NS,2023-03-29
EICHERMOT.NS,2023-03-29
GODREJPROP.NS,2023-03-29
GOLDBEES.NS,2023-03-29
GRSE.NS,2023-03-29
HAVELLS.NS,2023-03-29
HCLTECH.NS,2023-03-29
HDFCAMC.NS,2023-03-29
HDFCBANK.NS,2023-03-29
HEROMOTOCO.NS,2023-03-29
HINDALCO.NS,2023-03-29
HINDUNILVR.NS,2023-03-29
ICICIBANK.NS,2023-03-29
IDFCFIRSTB.NS,2023-03-29
IEX.NS,2023-03-29
IIFL.NS,2023-03-29
INDIGO.NS,2023-03-29
INDUSTOWER.NS,2023-03-29
INFY.NS,2023-03-29
IRCON.NS,2023-03-29
ITC.NS,2023-03-29
JSWSTEEL.NS,2023-03-29
KOTAKBANK.NS,2023-03-29
LALPATHLAB.NS,2023-03-29
LAURUSLABS.NS,2023-03-29
LUPIN.NS,2023-03-29
M&M.NS,2023-03-29
MANAPPURAM.NS,2023-03-29
MARICO.NS,2023-03-29
MARUTI.NS,2023-03-29
MCX.NS,2023-03-29
MON100.NS,2023-03-29
MPHASIS.NS,2023-03-29
MRF.NS,2023-03-29
MUTHOOTFIN.NS,2023-03-29
NAVINFLUOR.NS,2023-03-29
NESTLEIND.NS,2023-03-29
NIFTYBEES.NS,2023-03-29
OBEROIRLTY.NS,2023-03-29
OIL.NS,2023-03-29
ONGC.NS,2023-03-29
PAGEIND.NS,2023-03-29
PERSISTENT.NS,2023-03-29
PIDILITIND.NS,2023-03-29
PIIND.NS,2023-03-29
POLYCAB.NS,2023-03-29
POONAWALLA.NS,2023-03-29
PRESTIGE.NS,2023-03-29
RAYMOND.NS,2023-03-29
RELIANCE.NS,2023-03-29
RITES.NS,2023-03-29
RVNL.NS,2023-03-29
SAIL.NS,2023-03-29
SBIN.NS,2023-03-29
SHREECEM.NS,2023-03-29
SIEMENS.NS,2023-03-29
SRF.NS,2023-03-29
SUNPHARMA.NS,2023-03-29
SUZLON.NS,2023-03-29
TATACHEM.NS,2023-03-29
TATACOMM.NS,2023-03-29
TATAELXSI.NS,2023-03-29
TATASTEEL.NS,2023-03-29
TCS.NS,2023-03-29
TECHM.NS,2023-03-29
TITAN.NS,2023-03-29
TRIDENT.NS,2023-03-29
TVSMOTOR.NS,2023-03-29
VOLTAS.NS,2023-03-29
WIPRO.NS,2023-03-29
ZENSARTECH.NS,2023-03-29
