kdcode,dt
AARTIIND.NS,2022-12-12
ADANIENT.NS,2022-12-12
APOLLOTYRE.NS,2022-12-12
ASHOKLEY.NS,2022-12-12
ASIANPAINT.NS,2022-12-12
AUROPHARMA.NS,2022-12-12
AXISBANK.NS,2022-12-12
BAJFINANCE.NS,2022-12-12
BATAINDIA.NS,2022-12-12
BDL.NS,2022-12-12
BEML.NS,2022-12-12
BHARATFORG.NS,2022-12-12
BHARTIARTL.NS,2022-12-12
BHEL.NS,2022-12-12
BIOCON.NS,2022-12-12
BPCL.NS,2022-12-12
BRITANNIA.NS,2022-12-12
BSOFT.NS,2022-12-12
CDSL.NS,2022-12-12
CESC.NS,2022-12-12
CIPLA.NS,2022-12-12
COALINDIA.NS,2022-12-12
COFORGE.NS,2022-12-12
CONCOR.NS,2022-12-12
CUMMINSIND.NS,2022-12-12
DIXON.NS,2022-12-12
DRREDDY.NS,2022-12-12
EICHERMOT.NS,2022-12-12
GODREJPROP.NS,2022-12-12
GOLDBEES.NS,2022-12-12
GRSE.NS,2022-12-12
HAVELLS.NS,2022-12-12
HCLTECH.NS,2022-12-12
HDFCAMC.NS,2022-12-12
HDFCBANK.NS,2022-12-12
HEROMOTOCO.NS,2022-12-12
HINDALCO.NS,2022-12-12
HINDUNILVR.NS,2022-12-12
ICICIBANK.NS,2022-12-12
IDFCFIRSTB.NS,2022-12-12
IEX.NS,2022-12-12
IIFL.NS,2022-12-12
INDIGO.NS,2022-12-12
INDUSTOWER.NS,2022-12-12
INFY.NS,2022-12-12
IRCON.NS,2022-12-12
ITC.NS,2022-12-12
JSWSTEEL.NS,2022-12-12
KOTAKBANK.NS,2022-12-12
LALPATHLAB.NS,2022-12-12
LAURUSLABS.NS,2022-12-12
LUPIN.NS,2022-12-12
M&M.NS,2022-12-12
MANAPPURAM.NS,2022-12-12
MARICO.NS,2022-12-12
MARUTI.NS,2022-12-12
MCX.NS,2022-12-12
MON100.NS,2022-12-12
MPHASIS.NS,2022-12-12
MRF.NS,2022-12-12
MUTHOOTFIN.NS,2022-12-12
NAVINFLUOR.NS,2022-12-12
NESTLEIND.NS,2022-12-12
NIFTYBEES.NS,2022-12-12
OBEROIRLTY.NS,2022-12-12
OIL.NS,2022-12-12
ONGC.NS,2022-12-12
PAGEIND.NS,2022-12-12
PERSISTENT.NS,2022-12-12
PIDILITIND.NS,2022-12-12
PIIND.NS,2022-12-12
POLYCAB.NS,2022-12-12
POONAWALLA.NS,2022-12-12
PRESTIGE.NS,2022-12-12
RAYMOND.NS,2022-12-12
RELIANCE.NS,2022-12-12
RITES.NS,2022-12-12
RVNL.NS,2022-12-12
SAIL.NS,2022-12-12
SBIN.NS,2022-12-12
SHREECEM.NS,2022-12-12
SIEMENS.NS,2022-12-12
SRF.NS,2022-12-12
SUNPHARMA.NS,2022-12-12
SUZLON.NS,2022-12-12
TATACHEM.NS,2022-12-12
TATACOMM.NS,2022-12-12
TATAELXSI.NS,2022-12-12
TATASTEEL.NS,2022-12-12
TCS.NS,2022-12-12
TECHM.NS,2022-12-12
TITAN.NS,2022-12-12
TRIDENT.NS,2022-12-12
TVSMOTOR.NS,2022-12-12
VOLTAS.NS,2022-12-12
WIPRO.NS,2022-12-12
ZENSARTECH.NS,2022-12-12
