kdcode,dt
AARTIIND.NS,2022-11-29
ADANIENT.NS,2022-11-29
APOLLOTYRE.NS,2022-11-29
ASHOKLEY.NS,2022-11-29
ASIANPAINT.NS,2022-11-29
AUROPHARMA.NS,2022-11-29
AXISBANK.NS,2022-11-29
BAJFINANCE.NS,2022-11-29
BATAINDIA.NS,2022-11-29
BDL.NS,2022-11-29
BEML.NS,2022-11-29
BHARATFORG.NS,2022-11-29
BHARTIARTL.NS,2022-11-29
BHEL.NS,2022-11-29
BIOCON.NS,2022-11-29
BPCL.NS,2022-11-29
BRITANNIA.NS,2022-11-29
BSOFT.NS,2022-11-29
CDSL.NS,2022-11-29
CESC.NS,2022-11-29
CIPLA.NS,2022-11-29
COALINDIA.NS,2022-11-29
COFORGE.NS,2022-11-29
CONCOR.NS,2022-11-29
CUMMINSIND.NS,2022-11-29
DIXON.NS,2022-11-29
DRREDDY.NS,2022-11-29
EICHERMOT.NS,2022-11-29
GODREJPROP.NS,2022-11-29
GOLDBEES.NS,2022-11-29
GRSE.NS,2022-11-29
HAVELLS.NS,2022-11-29
HCLTECH.NS,2022-11-29
HDFCAMC.NS,2022-11-29
HDFCBANK.NS,2022-11-29
HEROMOTOCO.NS,2022-11-29
HINDALCO.NS,2022-11-29
HINDUNILVR.NS,2022-11-29
ICICIBANK.NS,2022-11-29
IDFCFIRSTB.NS,2022-11-29
IEX.NS,2022-11-29
IIFL.NS,2022-11-29
INDIGO.NS,2022-11-29
INDUSTOWER.NS,2022-11-29
INFY.NS,2022-11-29
IRCON.NS,2022-11-29
ITC.NS,2022-11-29
JSWSTEEL.NS,2022-11-29
KOTAKBANK.NS,2022-11-29
LALPATHLAB.NS,2022-11-29
LAURUSLABS.NS,2022-11-29
LUPIN.NS,2022-11-29
M&M.NS,2022-11-29
MANAPPURAM.NS,2022-11-29
MARICO.NS,2022-11-29
MARUTI.NS,2022-11-29
MCX.NS,2022-11-29
MON100.NS,2022-11-29
MPHASIS.NS,2022-11-29
MRF.NS,2022-11-29
MUTHOOTFIN.NS,2022-11-29
NAVINFLUOR.NS,2022-11-29
NESTLEIND.NS,2022-11-29
NIFTYBEES.NS,2022-11-29
OBEROIRLTY.NS,2022-11-29
OIL.NS,2022-11-29
ONGC.NS,2022-11-29
PAGEIND.NS,2022-11-29
PERSISTENT.NS,2022-11-29
PIDILITIND.NS,2022-11-29
PIIND.NS,2022-11-29
POLYCAB.NS,2022-11-29
POONAWALLA.NS,2022-11-29
PRESTIGE.NS,2022-11-29
RAYMOND.NS,2022-11-29
RELIANCE.NS,2022-11-29
RITES.NS,2022-11-29
RVNL.NS,2022-11-29
SAIL.NS,2022-11-29
SBIN.NS,2022-11-29
SHREECEM.NS,2022-11-29
SIEMENS.NS,2022-11-29
SRF.NS,2022-11-29
SUNPHARMA.NS,2022-11-29
SUZLON.NS,2022-11-29
TATACHEM.NS,2022-11-29
TATACOMM.NS,2022-11-29
TATAELXSI.NS,2022-11-29
TATASTEEL.NS,2022-11-29
TCS.NS,2022-11-29
TECHM.NS,2022-11-29
TITAN.NS,2022-11-29
TRIDENT.NS,2022-11-29
TVSMOTOR.NS,2022-11-29
VOLTAS.NS,2022-11-29
WIPRO.NS,2022-11-29
ZENSARTECH.NS,2022-11-29
