kdcode,dt
AARTIIND.NS,2022-10-31
ADANIENT.NS,2022-10-31
APOLLOTYRE.NS,2022-10-31
ASHOKLEY.NS,2022-10-31
ASIANPAINT.NS,2022-10-31
AUROPHARMA.NS,2022-10-31
AXISBANK.NS,2022-10-31
BAJFINANCE.NS,2022-10-31
BATAINDIA.NS,2022-10-31
BDL.NS,2022-10-31
BEML.NS,2022-10-31
BHARATFORG.NS,2022-10-31
BHARTIARTL.NS,2022-10-31
BHEL.NS,2022-10-31
BIOCON.NS,2022-10-31
BPCL.NS,2022-10-31
BRITANNIA.NS,2022-10-31
BSOFT.NS,2022-10-31
CDSL.NS,2022-10-31
CESC.NS,2022-10-31
CIPLA.NS,2022-10-31
COALINDIA.NS,2022-10-31
COFORGE.NS,2022-10-31
CONCOR.NS,2022-10-31
CUMMINSIND.NS,2022-10-31
DIXON.NS,2022-10-31
DRREDDY.NS,2022-10-31
EICHERMOT.NS,2022-10-31
GODREJPROP.NS,2022-10-31
GOLDBEES.NS,2022-10-31
GRSE.NS,2022-10-31
HAVELLS.NS,2022-10-31
HCLTECH.NS,2022-10-31
HDFCAMC.NS,2022-10-31
HDFCBANK.NS,2022-10-31
HEROMOTOCO.NS,2022-10-31
HINDALCO.NS,2022-10-31
HINDUNILVR.NS,2022-10-31
ICICIBANK.NS,2022-10-31
IDFCFIRSTB.NS,2022-10-31
IEX.NS,2022-10-31
IIFL.NS,2022-10-31
INDIGO.NS,2022-10-31
INDUSTOWER.NS,2022-10-31
INFY.NS,2022-10-31
IRCON.NS,2022-10-31
ITC.NS,2022-10-31
JSWSTEEL.NS,2022-10-31
KOTAKBANK.NS,2022-10-31
LALPATHLAB.NS,2022-10-31
LAURUSLABS.NS,2022-10-31
LUPIN.NS,2022-10-31
M&M.NS,2022-10-31
MANAPPURAM.NS,2022-10-31
MARICO.NS,2022-10-31
MARUTI.NS,2022-10-31
MCX.NS,2022-10-31
MON100.NS,2022-10-31
MPHASIS.NS,2022-10-31
MRF.NS,2022-10-31
MUTHOOTFIN.NS,2022-10-31
NAVINFLUOR.NS,2022-10-31
NESTLEIND.NS,2022-10-31
NIFTYBEES.NS,2022-10-31
OBEROIRLTY.NS,2022-10-31
OIL.NS,2022-10-31
ONGC.NS,2022-10-31
PAGEIND.NS,2022-10-31
PERSISTENT.NS,2022-10-31
PIDILITIND.NS,2022-10-31
PIIND.NS,2022-10-31
POLYCAB.NS,2022-10-31
POONAWALLA.NS,2022-10-31
PRESTIGE.NS,2022-10-31
RAYMOND.NS,2022-10-31
RELIANCE.NS,2022-10-31
RITES.NS,2022-10-31
RVNL.NS,2022-10-31
SAIL.NS,2022-10-31
SBIN.NS,2022-10-31
SHREECEM.NS,2022-10-31
SIEMENS.NS,2022-10-31
SRF.NS,2022-10-31
SUNPHARMA.NS,2022-10-31
SUZLON.NS,2022-10-31
TATACHEM.NS,2022-10-31
TATACOMM.NS,2022-10-31
TATAELXSI.NS,2022-10-31
TATASTEEL.NS,2022-10-31
TCS.NS,2022-10-31
TECHM.NS,2022-10-31
TITAN.NS,2022-10-31
TRIDENT.NS,2022-10-31
TVSMOTOR.NS,2022-10-31
VOLTAS.NS,2022-10-31
WIPRO.NS,2022-10-31
ZENSARTECH.NS,2022-10-31
