kdcode,dt
AARTIIND.NS,2021-04-23
ADANIENT.NS,2021-04-23
APOLLOTYRE.NS,2021-04-23
ASHOKLEY.NS,2021-04-23
ASIANPAINT.NS,2021-04-23
AUROPHARMA.NS,2021-04-23
AXISBANK.NS,2021-04-23
BAJFINANCE.NS,2021-04-23
BATAINDIA.NS,2021-04-23
BDL.NS,2021-04-23
BEML.NS,2021-04-23
BHARATFORG.NS,2021-04-23
BHARTIARTL.NS,2021-04-23
BHEL.NS,2021-04-23
BIOCON.NS,2021-04-23
BPCL.NS,2021-04-23
BRITANNIA.NS,2021-04-23
BSOFT.NS,2021-04-23
CDSL.NS,2021-04-23
CESC.NS,2021-04-23
CIPLA.NS,2021-04-23
COALINDIA.NS,2021-04-23
COFORGE.NS,2021-04-23
CONCOR.NS,2021-04-23
CUMMINSIND.NS,2021-04-23
DIXON.NS,2021-04-23
DRREDDY.NS,2021-04-23
EICHERMOT.NS,2021-04-23
GODREJPROP.NS,2021-04-23
GOLDBEES.NS,2021-04-23
GRSE.NS,2021-04-23
HAVELLS.NS,2021-04-23
HCLTECH.NS,2021-04-23
HDFCAMC.NS,2021-04-23
HDFCBANK.NS,2021-04-23
HEROMOTOCO.NS,2021-04-23
HINDALCO.NS,2021-04-23
HINDUNILVR.NS,2021-04-23
ICICIBANK.NS,2021-04-23
IDFCFIRSTB.NS,2021-04-23
IEX.NS,2021-04-23
IIFL.NS,2021-04-23
INDIGO.NS,2021-04-23
INDUSTOWER.NS,2021-04-23
INFY.NS,2021-04-23
IRCON.NS,2021-04-23
ITC.NS,2021-04-23
JSWSTEEL.NS,2021-04-23
KOTAKBANK.NS,2021-04-23
LALPATHLAB.NS,2021-04-23
LAURUSLABS.NS,2021-04-23
LUPIN.NS,2021-04-23
M&M.NS,2021-04-23
MANAPPURAM.NS,2021-04-23
MARICO.NS,2021-04-23
MARUTI.NS,2021-04-23
MCX.NS,2021-04-23
MON100.NS,2021-04-23
MPHASIS.NS,2021-04-23
MRF.NS,2021-04-23
MUTHOOTFIN.NS,2021-04-23
NAVINFLUOR.NS,2021-04-23
NESTLEIND.NS,2021-04-23
NIFTYBEES.NS,2021-04-23
OBEROIRLTY.NS,2021-04-23
OIL.NS,2021-04-23
ONGC.NS,2021-04-23
PAGEIND.NS,2021-04-23
PERSISTENT.NS,2021-04-23
PIDILITIND.NS,2021-04-23
PIIND.NS,2021-04-23
POLYCAB.NS,2021-04-23
POONAWALLA.NS,2021-04-23
PRESTIGE.NS,2021-04-23
RAYMOND.NS,2021-04-23
RELIANCE.NS,2021-04-23
RITES.NS,2021-04-23
RVNL.NS,2021-04-23
SAIL.NS,2021-04-23
SBIN.NS,2021-04-23
SHREECEM.NS,2021-04-23
SIEMENS.NS,2021-04-23
SRF.NS,2021-04-23
SUNPHARMA.NS,2021-04-23
SUZLON.NS,2021-04-23
TATACHEM.NS,2021-04-23
TATACOMM.NS,2021-04-23
TATAELXSI.NS,2021-04-23
TATASTEEL.NS,2021-04-23
TCS.NS,2021-04-23
TECHM.NS,2021-04-23
TITAN.NS,2021-04-23
TRIDENT.NS,2021-04-23
TVSMOTOR.NS,2021-04-23
VOLTAS.NS,2021-04-23
WIPRO.NS,2021-04-23
ZENSARTECH.NS,2021-04-23
