kdcode,dt
AARTIIND.NS,2021-01-19
ADANIENT.NS,2021-01-19
APOLLOTYRE.NS,2021-01-19
ASHOKLEY.NS,2021-01-19
ASIANPAINT.NS,2021-01-19
AUROPHARMA.NS,2021-01-19
AXISBANK.NS,2021-01-19
BAJFINANCE.NS,2021-01-19
BATAINDIA.NS,2021-01-19
BDL.NS,2021-01-19
BEML.NS,2021-01-19
BHARATFORG.NS,2021-01-19
BHARTIARTL.NS,2021-01-19
BHEL.NS,2021-01-19
BIOCON.NS,2021-01-19
BPCL.NS,2021-01-19
BRITANNIA.NS,2021-01-19
BSOFT.NS,2021-01-19
CDSL.NS,2021-01-19
CESC.NS,2021-01-19
CIPLA.NS,2021-01-19
COALINDIA.NS,2021-01-19
COFORGE.NS,2021-01-19
CONCOR.NS,2021-01-19
CUMMINSIND.NS,2021-01-19
DIXON.NS,2021-01-19
DRREDDY.NS,2021-01-19
EICHERMOT.NS,2021-01-19
GODREJPROP.NS,2021-01-19
GOLDBEES.NS,2021-01-19
GRSE.NS,2021-01-19
HAVELLS.NS,2021-01-19
HCLTECH.NS,2021-01-19
HDFCAMC.NS,2021-01-19
HDFCBANK.NS,2021-01-19
HEROMOTOCO.NS,2021-01-19
HINDALCO.NS,2021-01-19
HINDUNILVR.NS,2021-01-19
ICICIBANK.NS,2021-01-19
IDFCFIRSTB.NS,2021-01-19
IEX.NS,2021-01-19
IIFL.NS,2021-01-19
INDIGO.NS,2021-01-19
INDUSTOWER.NS,2021-01-19
INFY.NS,2021-01-19
IRCON.NS,2021-01-19
ITC.NS,2021-01-19
JSWSTEEL.NS,2021-01-19
KOTAKBANK.NS,2021-01-19
LALPATHLAB.NS,2021-01-19
LAURUSLABS.NS,2021-01-19
LUPIN.NS,2021-01-19
M&M.NS,2021-01-19
MANAPPURAM.NS,2021-01-19
MARICO.NS,2021-01-19
MARUTI.NS,2021-01-19
MCX.NS,2021-01-19
MON100.NS,2021-01-19
MPHASIS.NS,2021-01-19
MRF.NS,2021-01-19
MUTHOOTFIN.NS,2021-01-19
NAVINFLUOR.NS,2021-01-19
NESTLEIND.NS,2021-01-19
NIFTYBEES.NS,2021-01-19
OBEROIRLTY.NS,2021-01-19
OIL.NS,2021-01-19
ONGC.NS,2021-01-19
PAGEIND.NS,2021-01-19
PERSISTENT.NS,2021-01-19
PIDILITIND.NS,2021-01-19
PIIND.NS,2021-01-19
POLYCAB.NS,2021-01-19
POONAWALLA.NS,2021-01-19
PRESTIGE.NS,2021-01-19
RAYMOND.NS,2021-01-19
RELIANCE.NS,2021-01-19
RITES.NS,2021-01-19
RVNL.NS,2021-01-19
SAIL.NS,2021-01-19
SBIN.NS,2021-01-19
SHREECEM.NS,2021-01-19
SIEMENS.NS,2021-01-19
SRF.NS,2021-01-19
SUNPHARMA.NS,2021-01-19
SUZLON.NS,2021-01-19
TATACHEM.NS,2021-01-19
TATACOMM.NS,2021-01-19
TATAELXSI.NS,2021-01-19
TATASTEEL.NS,2021-01-19
TCS.NS,2021-01-19
TECHM.NS,2021-01-19
TITAN.NS,2021-01-19
TRIDENT.NS,2021-01-19
TVSMOTOR.NS,2021-01-19
VOLTAS.NS,2021-01-19
WIPRO.NS,2021-01-19
ZENSARTECH.NS,2021-01-19
