kdcode,dt
AARTIIND.NS,2021-12-14
ADANIENT.NS,2021-12-14
APOLLOTYRE.NS,2021-12-14
ASHOKLEY.NS,2021-12-14
ASIANPAINT.NS,2021-12-14
AUROPHARMA.NS,2021-12-14
AXISBANK.NS,2021-12-14
BAJFINANCE.NS,2021-12-14
BATAINDIA.NS,2021-12-14
BDL.NS,2021-12-14
BEML.NS,2021-12-14
BHARATFORG.NS,2021-12-14
BHARTIARTL.NS,2021-12-14
BHEL.NS,2021-12-14
BIOCON.NS,2021-12-14
BPCL.NS,2021-12-14
BRITANNIA.NS,2021-12-14
BSOFT.NS,2021-12-14
CDSL.NS,2021-12-14
CESC.NS,2021-12-14
CIPLA.NS,2021-12-14
COALINDIA.NS,2021-12-14
COFORGE.NS,2021-12-14
CONCOR.NS,2021-12-14
CUMMINSIND.NS,2021-12-14
DIXON.NS,2021-12-14
DRREDDY.NS,2021-12-14
EICHERMOT.NS,2021-12-14
GODREJPROP.NS,2021-12-14
GOLDBEES.NS,2021-12-14
GRSE.NS,2021-12-14
HAVELLS.NS,2021-12-14
HCLTECH.NS,2021-12-14
HDFCAMC.NS,2021-12-14
HDFCBANK.NS,2021-12-14
HEROMOTOCO.NS,2021-12-14
HINDALCO.NS,2021-12-14
HINDUNILVR.NS,2021-12-14
ICICIBANK.NS,2021-12-14
IDFCFIRSTB.NS,2021-12-14
IEX.NS,2021-12-14
IIFL.NS,2021-12-14
INDIGO.NS,2021-12-14
INDUSTOWER.NS,2021-12-14
INFY.NS,2021-12-14
IRCON.NS,2021-12-14
ITC.NS,2021-12-14
JSWSTEEL.NS,2021-12-14
KOTAKBANK.NS,2021-12-14
LALPATHLAB.NS,2021-12-14
LAURUSLABS.NS,2021-12-14
LUPIN.NS,2021-12-14
M&M.NS,2021-12-14
MANAPPURAM.NS,2021-12-14
MARICO.NS,2021-12-14
MARUTI.NS,2021-12-14
MCX.NS,2021-12-14
MON100.NS,2021-12-14
MPHASIS.NS,2021-12-14
MRF.NS,2021-12-14
MUTHOOTFIN.NS,2021-12-14
NAVINFLUOR.NS,2021-12-14
NESTLEIND.NS,2021-12-14
NIFTYBEES.NS,2021-12-14
OBEROIRLTY.NS,2021-12-14
OIL.NS,2021-12-14
ONGC.NS,2021-12-14
PAGEIND.NS,2021-12-14
PERSISTENT.NS,2021-12-14
PIDILITIND.NS,2021-12-14
PIIND.NS,2021-12-14
POLYCAB.NS,2021-12-14
POONAWALLA.NS,2021-12-14
PRESTIGE.NS,2021-12-14
RAYMOND.NS,2021-12-14
RELIANCE.NS,2021-12-14
RITES.NS,2021-12-14
RVNL.NS,2021-12-14
SAIL.NS,2021-12-14
SBIN.NS,2021-12-14
SHREECEM.NS,2021-12-14
SIEMENS.NS,2021-12-14
SRF.NS,2021-12-14
SUNPHARMA.NS,2021-12-14
SUZLON.NS,2021-12-14
TATACHEM.NS,2021-12-14
TATACOMM.NS,2021-12-14
TATAELXSI.NS,2021-12-14
TATASTEEL.NS,2021-12-14
TCS.NS,2021-12-14
TECHM.NS,2021-12-14
TITAN.NS,2021-12-14
TRIDENT.NS,2021-12-14
TVSMOTOR.NS,2021-12-14
VOLTAS.NS,2021-12-14
WIPRO.NS,2021-12-14
ZENSARTECH.NS,2021-12-14
