datetime,daily_return
2020-01-07,0.00851337261561181
2020-01-08,-0.002055876908343703
2020-01-09,0.014848087392537502
2020-01-10,0.004448749250721267
2020-01-13,0.0070696998257406335
2020-01-14,0.006830878215527201
2020-01-15,0.007864763578741057
2020-01-16,0.00462679273088108
2020-01-17,0.00035140196064614775
2020-01-20,-0.005243146151533204
2020-01-21,-0.004450691290782336
2020-01-22,-0.00300543687627996
2020-01-23,0.008869129491258104
2020-01-24,0.004095892555342601
2020-01-27,-0.00438126462565007
2020-01-28,-0.0033538783453967167
2020-01-29,0.008538039833063529
2020-01-30,-0.012717447060798078
2020-01-31,-0.00694488669037587
2020-02-03,-0.018634442007205883
2020-02-04,0.01771518637017937
2020-02-05,0.01181601271065305
2020-02-06,0.00409326913090725
2020-02-07,0.001891815855624241
2020-02-10,-0.009640278887908527
2020-02-11,0.002512065669534627
2020-02-12,-0.0008230554651775401
2020-02-13,0.0002374124816907799
2020-02-14,-0.005189364186357557
2020-02-17,-0.008264639811375988
2020-02-18,-0.004220790757263326
2020-02-19,0.016285976622659525
2020-02-20,0.004453417390733286
2020-02-24,-0.01972591914381211
2020-02-25,-0.002654412436899898
2020-02-26,-0.011216144327318522
2020-02-27,-0.00550076789047499
2020-02-28,-0.04257036244979758
2020-03-02,-0.0058083579728992795
2020-03-03,0.019734376065093307
2020-03-04,-0.00849943681045822
2020-03-05,0.0025626315436612663
2020-03-06,-0.020680807721812387
2020-03-09,-0.0430130530873915
2020-03-11,-0.007088198186303069
2020-03-12,-0.09054397044453519
2020-03-13,0.02719095260901938
2020-03-16,-0.06266802333797371
2020-03-17,-0.015126446201344082
2020-03-18,-0.045107201386472125
2020-03-19,-0.044714899494608
2020-03-20,0.04667852692402633
2020-03-23,-0.1174449736277661
2020-03-24,0.015338492971999752
2020-03-25,0.03544164315687131
2020-03-26,0.037384421662571034
2020-03-27,0.0029564613192719445
2020-03-30,-0.024218940010158507
2020-03-31,0.031692324963642146
2020-04-01,-0.018362238925591284
2020-04-03,-0.008027517914035802
2020-04-07,0.06713628270288961
2020-04-08,0.011790204979066481
2020-04-09,0.041778086206475135
2020-04-13,-0.002384941415175431
2020-04-15,0.004306981591566475
2020-04-16,0.015778317258557002
2020-04-17,0.022996461642703827
2020-04-20,-0.004578784966062815
2020-04-21,-0.0253691240004791
2020-04-22,0.00787220565179214
2020-04-23,0.01321431434656128
2020-04-24,-0.017609553548302407
2020-04-27,0.013897550195715322
2020-04-28,0.005951707887297537
2020-04-29,0.009233260792139876
2020-04-30,0.025790995385014823
2020-05-04,-0.0411222588501212
2020-05-05,-0.008921963219255752
2020-05-06,0.010152365357133151
2020-05-07,-0.004470951395013078
2020-05-08,-0.003451070970275773
2020-05-11,0.005781840376835168
2020-05-12,-0.0029917704622349703
2020-05-13,0.02223380823764483
2020-05-14,-0.011200502174467372
2020-05-15,0.0004250413196335375
2020-05-18,-0.032543937053259385
2020-05-19,0.005424790900367178
2020-05-20,0.01680003910729092
2020-05-21,0.007690852632742363
2020-05-22,-0.007045599205408222
2020-05-26,0.007055672625850167
2020-05-27,0.015406327627073347
2020-05-28,0.013987008492704657
2020-05-29,0.013732348999943874
2020-06-01,0.026624964237643413
2020-06-02,0.014309104804665712
2020-06-03,0.011488420922947752
2020-06-04,0.002438501497375643
2020-06-05,0.020124088976061064
2020-06-08,0.005012804627660684
2020-06-09,-0.007176202743887001
2020-06-10,0.006447144239644639
2020-06-11,-0.015000518796962521
2020-06-12,0.006525509668717296
2020-06-15,-0.0075403135899844735
2020-06-16,0.004956291407064113
2020-06-17,0.0020818705309311927
2020-06-18,0.014625977342784067
2020-06-19,0.01363726338790969
2020-06-22,0.014281208447988022
2020-06-23,0.01575404342704936
2020-06-24,-0.013889380050534706
2020-06-25,0.002454042920440482
2020-06-26,0.004175400602541432
2020-06-29,-0.01178460118674225
2020-06-30,0.0004040264276622113
2020-07-01,0.00512451878833912
2020-07-02,0.011493782477203125
2020-07-03,0.00867837088465463
2020-07-06,0.016222114047075416
2020-07-07,0.0037245375582097727
2020-07-08,-0.004737565524434672
2020-07-09,0.005317591723344328
2020-07-10,-0.005539555629208563
2020-07-13,0.0026746205337281484
2020-07-14,-0.014243118264654107
2020-07-15,0.001418851666511747
2020-07-16,0.004378424922773401
2020-07-17,0.01628323828109543
2020-07-20,0.010296836090870317
2020-07-21,0.004475279022365426
2020-07-22,-0.003111719422911023
2020-07-23,0.009282580516751501
2020-07-24,-0.0023037974277651803
2020-07-27,-0.004685530959479164
2020-07-28,0.01270167013431863
2020-07-29,0.00438533963470414
2020-07-30,-0.007513613902233855
2020-07-31,0.0059884431713575674
2020-08-03,2.4374576806375247e-05
2020-08-04,0.013528968675869111
2020-08-05,0.006108884114456475
2020-08-06,0.008592596540225672
2020-08-07,0.0031487227739956775
2020-08-10,0.012494097639626627
2020-08-11,-0.0018229001361976872
2020-08-12,-0.0009852620016394904
2020-08-13,0.009448032522857674
2020-08-14,-0.003634051135494305
2020-08-17,0.008042324752449273
2020-08-18,0.014007685815148389
2020-08-19,0.007580573139953528
2020-08-20,-0.000555899406867498
2020-08-21,0.00562334993714878
2020-08-24,0.004570925744921459
2020-08-25,0.00046298307553936365
2020-08-26,0.0061665302642843495
2020-08-27,0.004219487018587323
2020-08-28,0.0009770072214481309
2020-08-31,-0.03588021777675543
2020-09-01,0.007960730606066174
2020-09-02,0.011189568172135326
2020-09-03,0.006661959531852768
2020-09-04,-0.015819189953333417
2020-09-07,-0.003489395562315
2020-09-08,-0.010119920205849463
