date,kdcode,dt,open,high,low,close,adj_close,volume
2025-03-03,TVSMOTOR.NS,2025-03-03,,,,,,
2025-03-03,HEROMOTOCO.NS,2025-03-03,3644.050048828125,3715.0,3617.0,3630.75,3576.667724609375,691809.0
2025-03-03,LAURUSLABS.NS,2025-03-03,527.9500122070312,534.8499755859375,518.2000122070312,528.7999877929688,527.6436157226562,1677330.0
2025-03-03,SIEMENS.NS,2025-03-03,2717.7783203125,2853.404541015625,2680.23974609375,2839.140380859375,2839.140380859375,810733.0
2025-03-03,HAPPSTMNDS.NS,2025-03-03,685.9500122070312,702.4500122070312,665.4000244140625,684.5999755859375,677.172607421875,520083.0
2025-03-03,BIOCON.NS,2025-03-03,304.0,306.1499938964844,291.0,305.04998779296875,304.6426696777344,3555060.0
2025-03-03,IDFCFIRSTB.NS,2025-03-03,58.38999938964844,58.84000015258789,56.79999923706055,57.68999862670898,57.50178909301758,23489353.0
2025-03-03,ICICIBANK.NS,2025-03-03,1210.5,1217.0,1204.1500244140625,1206.199951171875,1196.964111328125,8158881.0
2025-03-03,CAMS.NS,2025-03-03,3162.050048828125,3198.0,3031.050048828125,3134.0,3098.943115234375,527204.0
2025-03-03,BPCL.NS,2025-03-03,239.0,243.63999938964844,234.00999450683597,242.41000366210935,233.9461669921875,6864635.0
2025-03-03,JSWSTEEL.NS,2025-03-03,959.0,981.5499877929688,953.0,976.0499877929688,973.4287109375,1744769.0
2025-03-03,BDL.NS,2025-03-03,,,,,,
2025-03-03,ITC.NS,2025-03-03,395.9500122070313,399.0,391.2000122070313,397.4500122070313,390.2594604492188,10702826.0
2025-03-03,CDSL.NS,2025-03-03,1115.0,1126.949951171875,1078.0,1104.199951171875,1095.269775390625,4773224.0
2025-03-03,BRITANNIA.NS,2025-03-03,4595.4501953125,4672.0,4548.14990234375,4596.60009765625,4537.140625,412033.0
2025-03-03,WIPRO.NS,2025-03-03,279.45001220703125,286.3500061035156,279.29998779296875,283.54998779296875,278.08026123046875,11471554.0
2025-03-03,TATACHEM.NS,2025-03-03,777.3499755859375,790.0999755859375,756.0,787.5499877929688,778.5292358398438,617215.0
2025-03-03,ASIANPAINT.NS,2025-03-03,2179.75,2193.35009765625,2129.0,2166.39990234375,2143.25,959068.0
2025-03-03,EICHERMOT.NS,2025-03-03,4827.0,4928.0,4827.0,4906.60009765625,4843.79296875,503560.0
2025-03-03,COFORGE.NS,2025-03-03,1472.6199951171875,1483.68994140625,1447.75,1471.4100341796875,1461.20849609375,1711805.0
2025-03-03,IIFL.NS,2025-03-03,304.8999938964844,307.75,281.5,291.8500061035156,291.8500061035156,2835507.0
2025-03-03,TCS.NS,2025-03-03,3485.0,3523.25,3476.14990234375,3493.050048828125,3437.744140625,4990439.0
2025-03-03,HAVELLS.NS,2025-03-03,1438.0,1443.0,1381.300048828125,1429.300048828125,1423.8251953125,1035355.0
2025-03-03,COALINDIA.NS,2025-03-03,370.0,371.0,352.3999938964844,360.3500061035156,341.1305236816406,12675744.0
2025-03-03,SHREECEM.NS,2025-03-03,27284.0,27808.650390625,27270.0,27678.900390625,27546.8984375,39731.0
2025-03-03,SBIN.NS,2025-03-03,690.1500244140625,697.4000244140625,680.0,695.2999877929688,681.6134643554688,10598479.0
2025-03-03,AXISBANK.NS,2025-03-03,1017.0499877929688,1019.4000244140624,992.0,1007.25,1006.389892578125,6763184.0
2025-03-03,IEX.NS,2025-03-03,156.27999877929688,157.82000732421875,152.0,154.69000244140625,153.5150146484375,4800862.0
2025-03-03,SUZLON.NS,2025-03-03,50.04999923706055,51.18999862670898,46.59999847412109,49.77999877929688,49.77999877929688,108578059.0
2025-03-03,AARTIIND.NS,2025-03-03,377.0,383.0,364.1499938964844,381.5,380.4856567382813,1581657.0
2025-03-03,PERSISTENT.NS,2025-03-03,5303.89990234375,5354.85009765625,5105.0,5292.5498046875,5278.31884765625,505746.0
2025-03-03,BATAINDIA.NS,2025-03-03,1224.0,1260.0,1177.0,1237.800048828125,1228.44873046875,179183.0
2025-03-03,PIIND.NS,2025-03-03,3017.199951171875,3029.300048828125,2951.10009765625,2987.10009765625,2979.78759765625,260732.0
2025-03-03,GODREJPROP.NS,2025-03-03,1940.0999755859373,2010.0,1913.8499755859373,2002.75,2002.75,1167576.0
2025-03-03,HINDALCO.NS,2025-03-03,634.4500122070312,643.5,620.7000122070312,636.5499877929688,631.9158325195312,5368388.0
2025-03-03,MARUTI.NS,2025-03-03,11886.0,12059.4501953125,11757.75,11775.599609375,11649.5126953125,186884.0
