,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DATAPATTNS.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,PVRINOX.NS,RAILTEL.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.9336385657623975,0.5351705629458886,0.7681960640860162,0.6518656539115333,0.8032552189804916,0.712574194732292,0.7395607292118456,0.7009417651736642,0.6575439887563322,0.7394330062939882,0.6192184394694551,0.7327622841134078,0.8441083544570771,0.7322222657503694,0.7393125515349596,0.707964635906992,0.8006554149441899,0.7969734532976969,0.609956302590833,0.8948857148460219,0.7351932708818303,0.8073183273662663,0.891806825729328,0.6636740313478586,0.5011761565292315,0.6863879908356255,0.4404723396134894,0.6620746699553407,0.7656550220619028,0.7542187487321094,0.5833795169510636,0.5167222184639542,0.8097650668569422,0.859640345559926,0.8141931922297277,0.7293118173179566,0.757727570558426,0.801021243257979,0.8012154488814663,0.8914524305465714,0.8404629544347407,0.8166463401827384,0.7450102299408113,0.649141927106366,0.7112291742664626,0.8736271629687434,0.48462435369725193,0.6520191607335818,0.31780737705679135,0.7964092279926164,0.7226011212605272,0.6807300121164066,0.6674479997404696,0.53860380434313,0.6028323369781144,0.8414609097229577,0.7895420621403343,0.6450513962144535,0.7060973031949058,0.4656765306758605,0.8062096865466708,0.5372761901815734,0.917056375388744,0.8990636075734775,-0.8211673088858539,0.7120630016609515,0.5720528513074558,0.7277764252161772,0.9033785006354501,0.6387799582473866,0.7927854423297364,0.8349213709081613,0.18928018992178347,0.7308886248203567,0.8541520550710017,0.5525821469700395,0.7808577398571622,0.5125640367185413,0.4426677215470882,0.7087342891026773,0.45235715094149015,0.5340047591827268,0.9031393459439648,0.2774684768685554,0.2957710466555524,0.8309255785041099,0.8046205903880944,0.7771426166055904,0.4618408630323801,0.7061362823960952,0.6982502153183986,0.7720200447379325,0.8163399093495074,0.43604868629936094,0.3303779987732815,0.5834099029250884,0.764074760544642,0.7495140881380171,0.7809824009316182,0.779998336440472,0.6680554338042546,0.6406613972820775,0.5986497693787963,0.7630128495356826,0.8419715141026113
ADANIENT.NS,0.9336385657623975,1.0,0.5053450873619,0.744676182777859,0.7714951699082572,0.8157919514131429,0.7908362992987463,0.8163559805903848,0.7869605162771678,0.7077213103372906,0.7271416700823261,0.6272118820584942,0.8178309402293392,0.8124232393869363,0.811704249710308,0.8217564963904269,0.7448718962492458,0.8249866666531321,0.8212079710913951,0.7233894612159255,0.9010698606585842,0.7655681603055216,0.8436238278980298,0.8839488205971685,0.683238102204872,0.5880661370283511,0.7234300100303895,0.5343193323404638,0.7637147090625865,0.8183880592446563,0.842187613342021,0.6018162632972631,0.5777568069845989,0.7613750168908638,0.8484562657262812,0.8445329206504042,0.6468159349923536,0.8517808687592101,0.8797828531659178,0.8106002156861627,0.8943717364264129,0.8458767152639715,0.8589114989676154,0.7861012640360162,0.7395182429709097,0.7027949906355667,0.8043564334258176,0.49884481135663244,0.5453581336995199,0.36934037312641843,0.8354450377368938,0.7686533612569405,0.6719279953163099,0.7221434443212925,0.6132951706061934,0.5648164548891058,0.8844635553849043,0.8305419313136423,0.7613808206276088,0.7616985451359691,0.6277478128532932,0.8478102593786542,0.5913193217402477,0.8631072551094628,0.8300609517240417,-0.8678635437532704,0.7634542104314774,0.648648428069054,0.7019611671762548,0.9072336098282083,0.6828336776632986,0.8075143439714917,0.8900255265233425,0.09327804898460415,0.6748698399709282,0.87116465264842,0.6056394490796291,0.8325081377755139,0.5190546894179282,0.5023432080623045,0.7103977669398882,0.5366007115052494,0.5218942579673057,0.8985411910362103,0.4054256146872068,0.37413946224856676,0.8412581244111929,0.826587923588069,0.8264970337610255,0.49257850825988303,0.7655341764881366,0.7460687764136176,0.8208807110269155,0.8370263902931225,0.41511265613122245,0.358110673031897,0.6234822053198943,0.7916500337149142,0.7488316993900358,0.7524057973132521,0.8246620501001293,0.7325471328342178,0.6308967257681115,0.6161498909291994,0.76517804910192,0.8249660105055047
ANGELONE.NS,0.5351705629458885,0.5053450873618999,1.0,0.7858893303724831,0.5096451152345471,0.535274988665515,0.6456881993702465,0.5955487995842208,0.4538844382594631,0.6262140162285715,0.40872700146343777,0.8983719145762775,0.6321821064020755,0.5657076079940978,0.7529536847743767,0.7509093589085214,0.5065375944547522,0.5170825334749077,0.5792846887593068,0.37541715799446534,0.5411689203867738,0.3342404291273975,0.5542361458368062,0.6385425380326091,0.5990541213888618,0.4396356923996569,0.7534683613562235,0.4245081600296696,0.5719274575055182,0.6161491865982984,0.5371946536449109,0.46122127846922395,0.4452264314167491,0.45405561063931243,0.47584625180696843,0.6731452688385015,0.5920695036955835,0.6244969541731804,0.5872273725058866,0.5205156200752528,0.618141289545233,0.5294101682447444,0.6152743433811749,0.6286314941441297,0.43725518970047156,0.45210937575313387,0.5731882998496698,0.21086404634755102,0.5027007767977673,0.2711858150024922,0.6113243500958623,0.5029158378864902,0.4952593146513374,0.6236512502463684,0.36539720425517347,0.9006839097175102,0.5839564914897184,0.5545783428222321,0.5189309464921779,0.4701763993902521,0.397136394735847,0.5138024601706315,0.34419667163451584,0.630634682797048,0.40592681509616974,-0.6330883479101215,0.7651713347638828,0.5494241688838893,0.6093801872595935,0.5803006417687371,0.640533448755854,0.625243885867327,0.5285857356862025,-0.15479383588646214,0.5869995184183703,0.6338757310444127,0.3354667360875544,0.5591754987573327,0.5511906295229168,0.4899061609879534,0.5417830394420152,0.39734000127887636,0.3171759852777367,0.5750705637495491,0.17966143270965024,0.1655088998587019,0.5318456610482438,0.6103435309247048,0.6268650168019566,0.27320269565335753,0.49074738769537707,0.5646742066691963,0.5111909099481315,0.458184838036387,0.9652573258566014,0.5262940301631995,0.4197843411748848,0.5996080928090086,0.6128660766623433,0.5715582419197903,0.5587714763686992,0.46986595080440596,0.5605409963338764,0.39176361549981276,0.49189169551577105,0.6860582669231515
APOLLOTYRE.NS,0.7681960640860162,0.744676182777859,0.7858893303724831,1.0,0.677606754593774,0.8354223296963618,0.8091655506396751,0.7900554976357931,0.6841097887012785,0.7460101168272059,0.6808658745203087,0.8663639074464288,0.7537774367943374,0.7999510768654327,0.7970945860609185,0.7975201090697329,0.6907576771855409,0.7444596929593418,0.7895308141516473,0.5769152595642195,0.7875028598810113,0.713467414538165,0.7567170236930696,0.8006983073679091,0.7074814827495908,0.6754578071380217,0.8016733114030002,0.6146856061722287,0.7697040372719629,0.797927577985545,0.7040945433923127,0.6070061808658463,0.5325156554217959,0.7022879063341102,0.694099123699557,0.8045961517514412,0.6569232563757056,0.7220303648003044,0.7810529729756741,0.8064869776384247,0.8272063349052864,0.8397525296971424,0.8252526953726091,0.855836660142331,0.5236330108977435,0.7318348109877093,0.7747788289372118,0.6003555694011717,0.5453334748589551,0.4779437739886478,0.8507320948919466,0.8342775141329049,0.7404138314268156,0.8053922727756994,0.6886272026027195,0.8376850632717076,0.807626376844062,0.805493185408416,0.6818961009892464,0.7147253677032718,0.5087743299339793,0.7052170163831241,0.6526921110990305,0.8089383007130568,0.6752349446342587,-0.8341242767512485,0.8411584879087693,0.8213010735692432,0.7835863130097745,0.8275485715349252,0.7676978377096704,0.7531813306042839,0.7746075607149095,-0.09717338810017186,0.7053688664650498,0.8652324735649779,0.6378183652393995,0.778262657408752,0.6767477479130403,0.7200550309937473,0.7414915586455387,0.5443310696917113,0.5925282560528871,0.8062383908081393,0.3022526485075637,0.38082400812565326,0.8373142375403133,0.7486787924378591,0.7804164352304986,0.5914168352339128,0.7707135562755344,0.7864368863287277,0.7981600567354862,0.7444662299351361,0.7723742399230152,0.4889936986460901,0.7223142234823748,0.845848767784725,0.7726401970904438,0.7833596602016786,0.7775866200380968,0.7222081443053916,0.6782143560976359,0.7338187368294116,0.7909716316031673,0.8241762361738935
ASHOKLEY.NS,0.6518656539115333,0.7714951699082572,0.5096451152345471,0.677606754593774,1.0,0.7263743249168106,0.8032372903968615,0.8544412489463883,0.8811846851320628,0.7192578702982634,0.6233889164599445,0.605381882507071,0.8964109679501208,0.7909137540804503,0.8387943331919686,0.7600722934192159,0.7262697320059908,0.8658015652490736,0.8541578165425505,0.761072277962563,0.7855792652129946,0.6532464426064505,0.7488003795622754,0.6815312473264135,0.8405805732921038,0.5885166163692607,0.7759382059826903,0.5747070292267054,0.6678660483345406,0.7626377525223478,0.8122553687800751,0.5604098169576774,0.581571111722916,0.6744725975388302,0.7542066436427854,0.8013203296740333,0.679447880463791,0.8310660581839087,0.8673587678992467,0.7671217680604412,0.8203528787713451,0.8012174578095362,0.8298828694204551,0.8018696761452837,0.5935968387106285,0.6312935221748038,0.6502763206669164,0.5919594832806769,0.5557874912364186,0.49406107126822335,0.8571716627829175,0.7248191091852508,0.7077507372838922,0.7031703436930365,0.6262753596007736,0.5507049230703424,0.7696221894348931,0.7013998227117484,0.8333545915637833,0.7887876925358753,0.6424528686433524,0.787804281157023,0.6659486681457389,0.6986955644433023,0.5323402698402432,-0.8581992706183331,0.7200106467746328,0.6809839189243708,0.7630271904024973,0.8341398288019121,0.6938856682248684,0.6810860787053445,0.8089521025315833,-0.37302867275203105,0.7009142557187887,0.7904283569493356,0.6434768225630333,0.7877914576889837,0.6456574628380695,0.5766202294009188,0.758833125659187,0.6524019136486988,0.5295063763524158,0.7983300032867152,0.5582538836486257,0.5129669773128825,0.7667431105359642,0.7675998548502188,0.8182579169105684,0.3995577147472264,0.8026240905459443,0.7172256621982384,0.7628124657826884,0.689778009181097,0.4688753014863081,0.42779173990566427,0.6624339215245593,0.7820012747067014,0.8114219528144789,0.797205615412913,0.8809738806015214,0.5933858157689474,0.6788283869919977,0.680258713716463,0.7559995108795532,0.691100541379195
ASIANPAINT.NS,0.8032552189804916,0.8157919514131429,0.5352749886655149,0.8354223296963618,0.7263743249168105,1.0,0.8252544644555616,0.7998523523197827,0.7324128583424163,0.8174905778116889,0.9080161369136958,0.6644614302449315,0.8397985260254243,0.8145604639893588,0.8215258971246231,0.8048584464928563,0.781279704049481,0.8180505397199677,0.7729453104143519,0.762803428227773,0.8674188744985267,0.6433913813005384,0.8518208943370689,0.7721709386025303,0.6745933674053798,0.6733640767766346,0.8181687481689356,0.7541289188007758,0.8628810288264692,0.9178595933878259,0.7866493902177568,0.6414628072753126,0.5903375452449657,0.8835399221785243,0.8102790298212367,0.8140031019999746,0.7016190302326576,0.7698436868247304,0.8354167159971889,0.8159295226457862,0.8867833999126514,0.8021720719949373,0.8543123070204864,0.750981980379369,0.6304137857863624,0.6965732817824243,0.814912596332273,0.4737665830435515,0.5623684343121143,0.38334128456975486,0.8581455865841826,0.8454947517125813,0.7386826995026048,0.8839776048457386,0.736457786292188,0.6952296043030968,0.8608806307330779,0.8421232179812645,0.7792279149839323,0.7799840713566776,0.740932165274826,0.8770798679192527,0.5951922335831876,0.8555899617364294,0.6333377903079561,-0.8849580169590475,0.7672692030080128,0.822526113864523,0.7345688584895808,0.9154148413422303,0.8679324033702854,0.786801762672746,0.8091608103346355,-0.14208553088378215,0.676852099689035,0.9369125828985377,0.5605417385182436,0.8381094036928456,0.5310461368076144,0.6796871461392203,0.7404458111646304,0.479146743555883,0.5103189379595179,0.9241763973591837,0.3048908136784055,0.32578088234199426,0.9181571011920464,0.7320387669223097,0.8231132819417518,0.5510705063055248,0.7040091278364233,0.8333071975887534,0.8636219549251701,0.7110360755108601,0.4740059116321472,0.449381999713274,0.6966362201826332,0.8579826692776361,0.8071492730242067,0.7438589609818127,0.8190935785417843,0.8198010110209644,0.7628730221906771,0.6227465440301693,0.7290535140194543,0.8969604402828589
AUROPHARMA.NS,0.712574194732292,0.7908362992987463,0.6456881993702464,0.8091655506396752,0.8032372903968614,0.8252544644555616,1.0,0.8965081610361197,0.7690500266240206,0.8660928254466883,0.6814120243438279,0.7674902808211735,0.8418172349201277,0.8493765865413886,0.8515871525643466,0.832352953309325,0.8075904977505959,0.8674352869640106,0.8464541556095181,0.6870822797712005,0.8353476207342933,0.6561589355510106,0.8856007945943909,0.7714587840499272,0.8204671228756999,0.6457913560788042,0.8413792301681862,0.7141600998293128,0.8707555148937648,0.8857960526980035,0.8925584580361078,0.5234688117475568,0.7096772316196654,0.6648864866539049,0.7646527687670213,0.9201230030279679,0.7761134275992979,0.854639064610691,0.8704788404827007,0.8568844172571844,0.9049978498381439,0.82087608687861,0.8883797101553981,0.8167963493935593,0.5801419259601658,0.7748700271979698,0.7599224725360854,0.5669070967003232,0.6003538732211711,0.558451781651076,0.8820954680296887,0.8155714322013289,0.7183393022465551,0.925525478619857,0.7147362624559078,0.7572348145802175,0.848976792631139,0.7792796084980836,0.8827398866828191,0.8823905908216877,0.6971817728785331,0.7940187875117011,0.7761884837700169,0.7609260222895745,0.5768285925084916,-0.9341880495605934,0.8511558432045334,0.7588910475797606,0.811011561019142,0.8347791617130821,0.8305647249967042,0.8134837421688272,0.7851394171546293,-0.24176427105471884,0.7512895102484812,0.9064621175244522,0.6057238593862773,0.8218143151519824,0.7589101099613184,0.6425429066256395,0.8974653712430252,0.6352000926141581,0.5462529806374087,0.8263525649885223,0.46579982938570735,0.5611859575193594,0.871881064816526,0.8133875932959465,0.8981056252976164,0.4327404274794914,0.8734816355358472,0.810890271589607,0.8831807833326782,0.8026414642230916,0.659968382322583,0.6044718706092794,0.6698400758636094,0.8932308262216305,0.8657623713881195,0.8379239409834849,0.7934217731689306,0.669360182976584,0.8485442772916625,0.7210815641126327,0.744372821077951,0.8202474367721672
AXISBANK.NS,0.7395607292118456,0.8163559805903848,0.5955487995842207,0.7900554976357931,0.8544412489463883,0.7998523523197826,0.8965081610361197,1.0,0.794700443204722,0.8735230476841356,0.6752285522968218,0.6645586222283711,0.8140778244026873,0.9093036409183674,0.8059379281175474,0.7898948447010231,0.7461289476960312,0.9135398981140098,0.8893003137368948,0.7916929359464006,0.8798030983106112,0.6319581739870637,0.8469787206681233,0.7553750347046858,0.8406997443806564,0.7072894087488929,0.8485795997670448,0.7000012642304578,0.8261202013637723,0.867829199520982,0.8454031652334294,0.6141304778349204,0.6522557462853176,0.6813536966087148,0.7625719233076952,0.8875931253716501,0.767263600121318,0.84935332494582,0.935948365383311,0.8903859162097307,0.8959071731960675,0.8618609280483089,0.9637166460197538,0.8805385655531466,0.6066966679946407,0.7749671403940547,0.7184709881473187,0.5600091405436018,0.693334395070664,0.6095224678800824,0.9068185850379481,0.8412084506097877,0.8396086936664056,0.8257787160978576,0.6422267191046683,0.6263586531622178,0.8769851783813143,0.8043330487255417,0.9060727206758195,0.9199662981206803,0.6499977543765106,0.7799896936876156,0.6931629656076187,0.7562887081905791,0.6624575502496995,-0.9473784509108634,0.8415286584166898,0.805859460482175,0.8664715979812271,0.8610461843433598,0.7432074258840261,0.7898057981151938,0.844117304300557,-0.3054378665856505,0.8607634370193842,0.8570824895466777,0.6367702152532857,0.9071420102092592,0.7101990671111824,0.7203541036689917,0.8168847527118667,0.7291700650137236,0.6488552369237555,0.847072750530716,0.6186443496789393,0.583586851624449,0.8657783652811344,0.8720136867375667,0.9821877702631802,0.5664168762386179,0.8766521870142179,0.8035266777077084,0.8960265640423067,0.816177324572252,0.5651252188837381,0.5747405068142452,0.6889704132700399,0.9074950288166554,0.9131208373486241,0.8496737178144985,0.865949051379688,0.675134299079773,0.8493317788205027,0.7392949840395084,0.8262207806967025,0.7959412254157264
BAJFINANCE.NS,0.7009417651736644,0.7869605162771679,0.4538844382594631,0.6841097887012785,0.8811846851320629,0.7324128583424163,0.7690500266240206,0.794700443204722,1.0,0.6628791373926776,0.6663213876229096,0.535985866858851,0.8583569938867284,0.772061495579044,0.803225022998627,0.7199806969436406,0.7384077945641375,0.782672629796356,0.8842558089406605,0.6818030033591387,0.8257420023812723,0.6354817061119017,0.7545656500574116,0.7083954526440674,0.822625446319813,0.5432476225005812,0.7595833017522474,0.4838757486711846,0.6691651335701818,0.739759428418226,0.7861909509726616,0.5784603340192228,0.5158430642121831,0.7295821915212362,0.7556753019640324,0.7490951625472924,0.6058511962396795,0.7762565358140819,0.9035155007987168,0.7855538709720967,0.8020809984018662,0.8583154097652541,0.8163986702613817,0.761061236356632,0.6644517210880292,0.8481428392831931,0.7051322964233977,0.6002919249029699,0.512072893919796,0.6666788346324825,0.8652910576440632,0.7089217706953723,0.7049793709029987,0.6891914136281243,0.6409716988854763,0.5637201989222151,0.7648185210692805,0.6890659808335934,0.7511578201138138,0.7861320893568678,0.5692439042415791,0.7787866236277072,0.7255858545579359,0.7549714188176451,0.5988256986811414,-0.8527322469569871,0.758660862993258,0.6029636053439514,0.7342835968632239,0.878733580852276,0.6627680776545178,0.6818290650590327,0.7868481817829354,-0.27211395547188705,0.6749934637875826,0.8299750343275714,0.5282729765215711,0.7418964504427957,0.8044719963974308,0.5247644519304243,0.7611372237568215,0.6761820805538187,0.7436915652598968,0.8288941092995485,0.5568216170592989,0.48855199455650755,0.7804184053267049,0.7756079259874217,0.781398137862387,0.41815241044297474,0.8484101815755378,0.646875529031153,0.8184801305622564,0.7310677680512384,0.40094639990819697,0.35387027722682557,0.8683886922181928,0.7451683518978676,0.766877652238643,0.7891821493284918,0.8375379734478843,0.6238151119297611,0.5926446195052224,0.7595852174074144,0.72815053253271,0.6959159594104564
BATAINDIA.NS,0.6575439887563322,0.7077213103372906,0.6262140162285715,0.7460101168272059,0.7192578702982634,0.8174905778116888,0.8660928254466884,0.8735230476841357,0.6628791373926777,1.0,0.6589512515623629,0.6099225313019581,0.7805326592630537,0.7817690702912283,0.7737955885655172,0.7591778719671903,0.6878795931047106,0.8025349268085699,0.7389529224338037,0.6279360301693506,0.7845236976555501,0.461221659994244,0.8690063728815801,0.688304819970573,0.7680621139753263,0.8133607771314812,0.8904606568061799,0.8614531373590242,0.8750136216477807,0.9062937099802064,0.7823513299062005,0.5904495830938792,0.6249918487672435,0.6284584761951536,0.6553869791710554,0.8393488437922496,0.8386944562005932,0.6932868529074233,0.8360304106933624,0.8057630419922037,0.8486275216220471,0.6994421916721116,0.8792455054234731,0.7163043528094359,0.6277325388228405,0.6470553139810001,0.6464992665231957,0.41343481118005065,0.6522596393131411,0.37773676179515114,0.9027074228491069,0.8549905351529135,0.7793354333901192,0.8423023009074245,0.5734485685587459,0.6781989860076212,0.8177705172250402,0.8003827306870802,0.7783634677187099,0.7642813955627651,0.6602160554531926,0.7863889005248247,0.5376775495813243,0.6860090565986046,0.5397698705761628,-0.8923610447769295,0.8220361400822049,0.8799522016046862,0.6704982442985356,0.8006680592501834,0.8636976051732977,0.7221676528421264,0.7245318284727243,-0.22860222354175147,0.6740197203131886,0.8345312540298044,0.4339008824456417,0.8670175000328965,0.5887550796439327,0.8114935650445892,0.7759165518098032,0.44400177232948257,0.47608468049228747,0.7776099033985613,0.3123503779284287,0.2962489490164161,0.8721520084200758,0.7336109179288562,0.910166450825602,0.4022671933660202,0.6896993192473986,0.7789315826189206,0.7896456765795146,0.6158062121577975,0.5675515262266543,0.6690680701779181,0.6534557727125846,0.8860011022858785,0.8524839512627546,0.7747995802298114,0.7620691643959687,0.7695064589416148,0.9253683538253746,0.5787826669232823,0.6444559123259032,0.8401449098619945
