,AARTIIND.NS,ADANIENT.NS,ANGELONE.NS,APOLLOTYRE.NS,ASHOKLEY.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJFINANCE.NS,BATAINDIA.NS,BDL.NS,BEML.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BPCL.NS,BRITANNIA.NS,BSOFT.NS,CAMS.NS,CDSL.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,DATAPATTNS.NS,DIXON.NS,DRREDDY.NS,EICHERMOT.NS,GODREJPROP.NS,GOLDBEES.NS,GRSE.NS,HAPPSTMNDS.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDFCFIRSTB.NS,IEX.NS,IIFL.NS,INDIGO.NS,INDUSTOWER.NS,INFY.NS,IRCON.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LALPATHLAB.NS,LAURUSLABS.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MON100.NS,MPHASIS.NS,MRF.NS,MUTHOOTFIN.NS,NAVINFLUOR.NS,NESTLEIND.NS,NIFTYBEES.NS,OBEROIRLTY.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PERSISTENT.NS,PIDILITIND.NS,PIIND.NS,POLYCAB.NS,POONAWALLA.NS,PRESTIGE.NS,RAILTEL.NS,RAYMOND.NS,RELIANCE.NS,RITES.NS,RVNL.NS,SAIL.NS,SBICARD.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,SUZLON.NS,TATACHEM.NS,TATACOMM.NS,TATAELXSI.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRIDENT.NS,TVSMOTOR.NS,VOLTAS.NS,WIPRO.NS,ZENSARTECH.NS
AARTIIND.NS,1.0,0.10785868574869828,0.4309965995657476,0.3637172713447384,0.677431502943821,0.8854401322817209,0.7885523895297106,0.3279366086856057,0.39545245261892115,0.26878007763646355,0.25513553404405653,0.4657917502735212,0.3422122729708173,0.3081109877564758,0.34636355530318086,0.8356136975648633,0.35163854509461223,0.4279859195761922,0.27241821121236764,0.32228961854456367,0.4721272123575679,0.3596487934062311,0.20285782096423885,0.42826714238094604,0.47534130348735704,0.3438257823255396,0.5599529942812851,0.5770296968449633,0.3720691665605157,0.310031691046261,0.187612431698514,0.306706162350604,0.3891384226023466,0.23038346581411256,0.3379650834955514,0.309601275796985,0.319011971520871,0.3233630528134841,0.13413724018957665,0.28921490935846594,0.3178403327204061,0.35268954028204474,0.34812701203059565,0.39613845319290303,0.3952248482546064,0.2985083553808322,0.25080649278885503,0.3580759035360736,0.33369433877252525,0.4364044485666328,0.2972793093260983,0.35701938657928745,0.4392046631530946,0.560552303413711,0.32231864195509324,0.5695230105551804,0.3835100286079109,0.4338636630043072,0.2523907474670018,0.38991906785692565,0.40944441308791185,0.27171047329894266,0.2974488523070392,0.4761504739187119,0.40584242731805525,-0.4334394131518578,0.16968310398237713,0.34833191830734983,0.39095475242431865,0.32704260541477925,0.14648190330610844,0.29747774140741967,0.3275879019990359,0.08383845250541855,0.31744438787066775,0.255277904560718,0.22123147058073228,0.28015596670423737,0.23456589082886978,0.39582759529923806,0.27137681746846914,0.12659332115351302,0.3730852483857448,0.16074860874422897,0.4347474776336704,0.5040359855102144,0.2822277646749399,0.42741667091750296,0.03606906714147867,0.2471802684299227,0.3264270296575294,0.3307315851655658,0.5212560205308685,0.4562973648668212,0.2636798247580386,0.7092815880371675,0.4748836985824305,0.3101560763144312,0.3753222237098006,0.34064911024693156,0.42112642825784286,0.28803303933121827,0.12247750434737817,0.5133031053490906,0.40987083613554537
ADANIENT.NS,0.10785868574869828,1.0,0.5307100245719527,0.39273142915736464,0.45831736922418276,0.37941819425396384,0.34809363031573937,0.5766471032769402,0.6629126472832538,0.3330996917898484,0.6803512826885352,0.5323474701573836,0.3546637887121387,0.6495689713464985,0.6098633738826487,0.24111940508999685,0.5141855025499219,0.3747857791985979,0.5457152891234202,0.5230710862701707,0.4844075276885465,0.5019979386918418,0.23668120071092272,0.6131771838484172,0.45579156876448806,0.5034645336826368,0.37615925894477764,0.3652506659104955,0.3724336152242567,0.5174111027578628,0.345770455485164,0.6820881111092125,0.49035489748318123,0.6286778243798077,0.3971585682276918,0.5418342231010341,0.5459595255864107,0.5445253210807044,0.31865458427302995,0.350877663097277,0.30139391188958425,0.555781658501135,0.607240374360219,0.3234169680903901,0.5190124027105025,0.4029985635842432,0.5755889997896542,0.5835854833052283,0.5913829211931647,0.5906213078104181,0.7711674012966712,0.4856686004925687,0.5927370540710627,0.2668087727568614,0.6114339181926158,0.31480455757423625,0.5780470495934951,0.3501702094161075,0.5232875128369564,0.5448329876482357,0.47837114078221754,0.5226814557579722,0.34581772108126824,0.43172594809639625,0.5527253647379502,-0.5757502262594185,0.3265417123532748,0.4123688859274107,0.5316409261611044,0.4803438407350151,0.2869831292443225,0.4400904367854342,0.5172527563688337,-0.009493573052862503,0.557032209432617,0.5433928615567585,0.23625220623291163,0.558433557477844,0.33907487043708107,0.5878393465057359,0.5511533957076121,0.6204701829070995,0.6057368070865083,0.4084983854361536,0.4402502621248655,0.3944033768854399,0.4925191286519585,0.6186410232337792,0.012597832254382449,0.664347582040163,0.5224637330660723,0.5315795801934753,0.5437462589178584,0.4111680889663338,0.45345427686834405,0.3019153015383874,0.5118505567327049,0.5698621121267808,0.5747322900452076,0.5308305628625529,0.5472748307274279,0.5537633040586454,0.2896888923216622,0.5533055564352963,0.3562633137464149
ANGELONE.NS,0.4309965995657476,0.5307100245719527,1.0,0.8722849059269494,0.8599887771401441,0.6078172582540874,0.8394318205509087,0.8235557881504202,0.8801830666630414,0.8082647441715797,0.8218047922537682,0.869679205259879,0.8712382929105688,0.894315653869892,0.9050187779890442,0.6079413658937438,0.9292185008627525,0.5953471095464912,0.7823397936670112,0.7922864176305906,0.8895896619784395,0.8958243660402737,0.534205381161523,0.9331792973607396,0.8868437841638952,0.8518765427504157,0.8154598567551451,0.676577955165621,0.7693927370945945,0.8469271693882967,0.7370333201845063,0.7975084707298556,0.9429305237667635,0.7957831275194142,0.7538750403794838,0.9165338952640399,0.8836194979955729,0.8687021839545471,0.5593749080016258,0.8021919648760862,0.7271516510091707,0.8741144890955259,0.9003799831990191,0.7515832343982769,0.9020613102536507,0.739537019849769,0.8906791537743781,0.8545969246646771,0.8982075321292007,0.865539290913304,0.8490215160019196,0.8788077111239357,0.9483321158561457,0.7417791710794441,0.8418725642916486,0.8416613510695301,0.9067110398951931,0.7994724485773591,0.7730925040149761,0.8675591103402422,0.857962288661295,0.8588354787220559,0.842465290528535,0.7936458501575249,0.8161269641453687,-0.931817029807657,0.5373086400111027,0.8508371584529275,0.8920175812695175,0.8657743187810976,0.5508109773424366,0.8787167960672615,0.877501769477977,-0.09381466629932377,0.8685849721040961,0.8674151889356132,0.667732377701962,0.8407771213859379,0.6727622285629511,0.8819790779199221,0.8015166073046148,0.5500403134644011,0.9132388673136348,0.6358592016047613,0.939556940635453,0.880602835725977,0.8888162447062228,0.8943326693690246,0.14032513261131657,0.7561906172932142,0.8623699129938551,0.8882435642842926,0.7780065754395755,0.8885517626251764,0.8467203499793242,0.7095834907218695,0.8900838814932744,0.8652815509337809,0.8951087122755598,0.7852041052107975,0.8884515673726863,0.8737882084679405,0.5304177761642838,0.9219864978567626,0.7547410244905753
APOLLOTYRE.NS,0.36371727134473847,0.39273142915736464,0.8722849059269495,1.0,0.6948639724908086,0.5681121960875776,0.6845711173911821,0.7673477987039704,0.7590851151407029,0.6321635391998043,0.6834928369137788,0.7273642495854846,0.8567422815422242,0.7790762755620907,0.7944244600924238,0.5690527593657471,0.8362915777386963,0.6107551627961831,0.6565963042767269,0.6929679183304924,0.7453010582295639,0.8081653593597219,0.45845052675052206,0.8178443003227723,0.7745838663272239,0.7066731218075812,0.6891508511698399,0.6754145119351117,0.6594317992108476,0.7042500613369098,0.9229993572417473,0.6850099799634994,0.8613832372204366,0.6712239907781966,0.7294663189515005,0.7399715280034674,0.7732016566522766,0.7600467041524795,0.4070375172324893,0.7816567453164042,0.6616966433115128,0.8014364025200281,0.7502470060324689,0.6836629738653915,0.7773865661644594,0.6126540427079536,0.772118893440309,0.7535953083433006,0.7627530353274699,0.6703348050131097,0.7830008886097473,0.6493950771896188,0.8154600213782409,0.7383934783668434,0.6198968354098997,0.6392070304734896,0.7853661767712529,0.7813627626973543,0.6163851003467831,0.8179309948604433,0.7346048436208865,0.6616069982467251,0.7123120728900957,0.6893545207551068,0.6821204370380551,-0.840298297294126,0.4868986919692758,0.6859479115754642,0.8141268097527666,0.8051187037498309,0.401378745199508,0.7137105692534038,0.7922685424487342,-0.19845251436243008,0.7535536821648986,0.767938332738197,0.8911918984196643,0.6691142886937156,0.5815917676365537,0.7344374525314868,0.6227789630130883,0.4341473075798401,0.7807745506074497,0.44303553766006754,0.7537304820926335,0.717113404273059,0.7672473834022928,0.7194001620474508,0.26605042031556203,0.5631518611864657,0.7111748107776305,0.7775637930890772,0.7262509262898795,0.7581692974800236,0.7024609243359577,0.7328578442205141,0.7656561884250049,0.7497288590694391,0.7847807759011299,0.6705255602566614,0.7769833531392356,0.7425414998480998,0.3821676648347356,0.7771629759788973,0.6632703281683934
ASHOKLEY.NS,0.677431502943821,0.45831736922418276,0.8599887771401441,0.6948639724908086,1.0,0.7784924047782109,0.9287066038378202,0.7676272593471893,0.8219613078468027,0.5896586770619787,0.6609056907996701,0.7914204313351012,0.7657636639659086,0.8214215357624247,0.8178471039612021,0.683406895387027,0.8682411141152792,0.6586461673088477,0.6284794295516077,0.6859922107002575,0.8766299950943163,0.7945812712042054,0.4839496789638846,0.8736158514612875,0.8736819621248147,0.774072333494213,0.9097524725517396,0.7264932368332498,0.7280541887215862,0.7796451998378413,0.5398586272254517,0.7922826470778267,0.8148589804789775,0.5295165180884088,0.6181370348436431,0.813283378885135,0.829009657249149,0.7776138169420598,0.597173510028588,0.7298738030548759,0.6752408338150888,0.8561572243582815,0.8155873367995342,0.7009375513772147,0.7973694431904604,0.6502294516663671,0.7853623046990554,0.7408963783728784,0.8357420225640331,0.8336732639362145,0.7805820447688115,0.811322140912754,0.9062351825906311,0.7295701536485479,0.746771314105197,0.8816066963929942,0.8828561467259846,0.7488792353244014,0.6886665487535496,0.821378124952611,0.8202476823626214,0.6187836034811134,0.7065934837146978,0.7346893367422885,0.7851887840485289,-0.8327068273881507,0.44195745232684014,0.8248256444391567,0.879787121051959,0.7896071865078462,0.5972836206561711,0.7687946281959122,0.8327901419013203,0.16555207543756706,0.8130601066554726,0.7971978429176256,0.4969792681299301,0.6945235437640148,0.5841713363355031,0.8280293506594685,0.7844520335742294,0.4724220708945481,0.8899548969499388,0.6267813952128377,0.9032301090873688,0.876793864748676,0.7515359745528013,0.8917674472989371,0.2208226772933006,0.6892475838580556,0.8228066455000705,0.8272318881311358,0.8468385274841599,0.8196365944969297,0.7618860958072964,0.7973832906928541,0.8781592353087512,0.7934502226405951,0.8468223667631315,0.7549429599537976,0.8122232212537364,0.793154538782371,0.5802816251905033,0.9149872511694138,0.6689957946735431
ASIANPAINT.NS,0.8854401322817209,0.3794181942539639,0.6078172582540874,0.5681121960875776,0.778492404778211,1.0,0.8386507824240481,0.6335217184579791,0.6716393458318151,0.4391634208768941,0.4555459130384002,0.6356470740023066,0.5329488497326933,0.5959109928174263,0.6171002758812872,0.849550390228643,0.5793566066805121,0.6701031809153435,0.5163899963567217,0.4879851372603941,0.602736248773326,0.6028349205111521,0.33000311369340607,0.6287636970435984,0.6928118330967677,0.5102417209317626,0.6745153705744404,0.7442302541687632,0.577104298790846,0.5314787749523641,0.37506269098175077,0.5948609189501831,0.6240300753745259,0.3793354130365786,0.4957378437653072,0.5354862101557427,0.5977637955571176,0.5756038973042974,0.3061554421571214,0.4791324197059116,0.5031960255616323,0.6064264983325803,0.5801080949610564,0.542741003361043,0.5974299403683884,0.4989855297003155,0.5480037854083932,0.4984955117356529,0.6048758383133527,0.550045553599763,0.6116398652275483,0.53489189365917,0.6832471434873679,0.6856148765263639,0.55783111250358,0.6230359334050324,0.6050446128704082,0.6431488234347361,0.4871305293097064,0.6485924246403783,0.6344463658793001,0.44162242415312114,0.4837247326197194,0.6729091258172275,0.6743101788853579,-0.6556983693996087,0.3301270306629445,0.5298132189506698,0.6424204752482314,0.5627972598485762,0.31168060960096683,0.5239635734896608,0.6024575886674268,0.007755525418467052,0.590711791015982,0.5255189209620944,0.37961152766701567,0.5028177901410631,0.388651527443242,0.5987804079310092,0.4754497571791329,0.45601393941796325,0.6256350523372345,0.33306860747831973,0.6041471702570491,0.6220346668165144,0.5098122565128126,0.6399293053944285,0.18272664207514402,0.42905143817453184,0.5805692324013291,0.5543591503179652,0.7441909755223407,0.6440926068362067,0.5033048136370029,0.8611446963714716,0.6758956480496955,0.5867385181338155,0.6172921152771172,0.60596680013261,0.6436465577229623,0.5499624735320441,0.28943790260850183,0.7148300488247203,0.5312475781362962
AUROPHARMA.NS,0.7885523895297106,0.34809363031573937,0.8394318205509087,0.684571117391182,0.9287066038378202,0.8386507824240481,1.0,0.7072509419257399,0.7545901878395924,0.6350036512946229,0.6717617527809641,0.8190572649237842,0.7603912683650772,0.7490434520298693,0.7657947618684244,0.7832243867947064,0.7874641054992284,0.5881281165177705,0.6334241939642383,0.655262031200259,0.8528317516168014,0.7560533347738955,0.4415431675585381,0.7891100025404841,0.8417764511261351,0.7293065732039521,0.8751498636624085,0.7381235157685684,0.7321587537357532,0.7729513462104988,0.5040901282532042,0.6916933041405066,0.788892836647416,0.5999510618245814,0.6669911389744239,0.7460903514852342,0.7656654901818797,0.7158989865724975,0.4760226610324697,0.6721661234630925,0.6378194504104483,0.7729017794148805,0.7501884120004435,0.6621656607846234,0.7677373500381266,0.6620443474287612,0.7136931461108035,0.6870553736520058,0.7802193849512121,0.8097546219906607,0.6737412488440956,0.766089983251541,0.8412186527016182,0.7540294650589632,0.7615372561612984,0.8797288717732658,0.7674800516399327,0.6973780121011832,0.6370628486522291,0.7490233626975937,0.768358296351959,0.6882689350551227,0.6561433798644085,0.8026291309656673,0.7935109636157139,-0.8062643206743334,0.5191525401278884,0.7688404178442785,0.7979040749541219,0.7011829382994932,0.4770038119942941,0.748651577556767,0.755281685414581,0.07242100663648542,0.7408339111626491,0.7070577432789507,0.4986265656019867,0.7297746879858049,0.5690145362208767,0.8047629096426252,0.6835361439840176,0.3952068040984538,0.7992314562816956,0.5395840413086295,0.8496516710133966,0.8465636142373232,0.6764986510103292,0.7846115621542709,0.16199432268558234,0.6342623920285674,0.7504378197552007,0.730727799487631,0.7702054485951498,0.793838887717611,0.7001198820377144,0.8348971114139526,0.8208437319453509,0.7519145028162206,0.7819207632951086,0.7337830199946234,0.8129935743855468,0.6986976880839384,0.44981135580388104,0.8997550130259291,0.6529086146045123
AXISBANK.NS,0.32793660868560576,0.5766471032769402,0.8235557881504203,0.7673477987039704,0.7676272593471895,0.6335217184579791,0.7072509419257399,1.0,0.922237335688979,0.7414365805175134,0.7772967644098503,0.7403625965814552,0.8628264244574977,0.9076848407506697,0.9181395183708297,0.5144448833419006,0.898083171995978,0.6416359041598209,0.7482927628108074,0.6985902489931722,0.7470130154536976,0.8470569083736293,0.5243423998090497,0.8648397549149028,0.8561835919421975,0.8757652141834386,0.7232513881858047,0.8144117554866408,0.763233255752858,0.8318310945433743,0.6054343554100455,0.838679225446691,0.861730412097624,0.6024725847228932,0.7248962338849526,0.8221853598573314,0.8857340062676434,0.8911340471982002,0.515770975714889,0.800303175242992,0.658548892631711,0.8254438768084779,0.8673655437540727,0.7102450720091156,0.8629989276133048,0.7320169634991487,0.9313805120737029,0.6755823667955564,0.8776856885986215,0.7629112273440172,0.884851548602781,0.7673057090950665,0.899118206485463,0.7484566079873894,0.7550033559276983,0.6867409145220116,0.910688379600024,0.7626378824800905,0.697949313863136,0.935686636373643,0.8216347452519797,0.7330056490550452,0.8248641303995344,0.7526765008745898,0.8628519045799422,-0.883302706753285,0.6028475835630168,0.7819486914896707,0.8653350434424874,0.8660881611705763,0.47886368661104023,0.8007221496011577,0.9002236382290679,-0.13497039594822557,0.8691936177680082,0.8410305198632914,0.5649771858224403,0.8140097185605999,0.6036161537449077,0.8204789225665259,0.7287010009600269,0.6942233844652901,0.9086871830151393,0.5340215153550915,0.8348403765849165,0.7535289042946197,0.8194449644958106,0.8674267965984513,0.2697795872922425,0.6506108183141132,0.8519741581363234,0.8537151364647563,0.8205151163788925,0.8081842022453208,0.8092787488380344,0.6764658001958881,0.8287977671559073,0.8667584977896042,0.8862762374400797,0.8195249674390486,0.8549836637826642,0.8364356873175536,0.4673821342434395,0.86724523939103,0.6575580811762549
BAJFINANCE.NS,0.39545245261892115,0.6629126472832538,0.8801830666630412,0.7590851151407029,0.8219613078468027,0.6716393458318151,0.7545901878395924,0.9222373356889789,1.0,0.7872659963385329,0.8360831850898953,0.8281172610091622,0.8545457224989115,0.9260962454994958,0.9325044399197467,0.5914333430340469,0.9203467681908019,0.719096437605267,0.7332969187500407,0.7509697459693879,0.7895300000854224,0.9129916269188493,0.5639616527882703,0.9063267295702256,0.8524321356110164,0.8956366540814124,0.7280775109315967,0.8045076577219639,0.744372669814108,0.8616035556137643,0.6494067930182695,0.8930391210161508,0.8594056289494224,0.7145951216774187,0.7241091168531839,0.862075671167607,0.8985252454497447,0.8926393061589794,0.5306701009548627,0.7896462125649479,0.6631687049557125,0.8733512985145399,0.9283563577326058,0.7203334882595892,0.9136792020241378,0.7140265512309414,0.9498539363778157,0.751661179367339,0.9022646843091976,0.7917805066995209,0.9156453433995857,0.8423966516221454,0.9440161146016677,0.7392687025492374,0.7869296607085088,0.7424930528965705,0.8979948058707519,0.8148378764580388,0.8350266986725071,0.9174155109197801,0.8531441737346156,0.815070716962826,0.8440534771450209,0.7307370799659756,0.8258427258239475,-0.9057107744478801,0.5440729479172146,0.7565367937994708,0.9093202161679744,0.8910570035544114,0.5004912710141943,0.8214081289681319,0.9165052380845814,-0.18312573990272185,0.8355549194674511,0.86933057491665,0.5504736109698478,0.8756102919963282,0.6448638147497735,0.850167177669375,0.7637792259826236,0.6238615110693978,0.9131522969604651,0.5725139543405359,0.8542542961668195,0.7851012446146916,0.8745737036099644,0.9048683285837635,0.26049122554095233,0.7261360756134634,0.8513134852518357,0.8934009802908566,0.8268047724146512,0.8520568917140506,0.8599867546476206,0.7256581318900475,0.8428338706822691,0.8495675836105231,0.8747267302327679,0.7963630810442757,0.8796203076339477,0.9032809264474161,0.47872898802935165,0.870308822517883,0.6538137328251907
BATAINDIA.NS,0.2687800776364636,0.3330996917898484,0.8082647441715797,0.6321635391998042,0.5896586770619788,0.43916342087689414,0.6350036512946229,0.7414365805175135,0.7872659963385328,1.0,0.6475242883579237,0.658703162330397,0.7716810869229865,0.7503740483199262,0.7441683783026072,0.44620247465499707,0.7408574299791759,0.460132121181414,0.6260931056791075,0.655098542350682,0.6379596159161391,0.7571155471486578,0.4504228467518676,0.7446675208702912,0.6586493613991641,0.7947248229728077,0.5436341081019567,0.5844915420714838,0.6415391582335026,0.7126512230042898,0.4932369699340503,0.5988440057980475,0.7708089237255495,0.6606324826325775,0.6055462884163441,0.7314911600598369,0.692371387505053,0.8113785723867011,0.370642651594796,0.6435758395790724,0.5550594727547274,0.5980537910587241,0.7276643490897657,0.5857134418015555,0.7851865482194135,0.6394120226896924,0.7960301333121799,0.6340341018734769,0.691657453675082,0.5980661123432027,0.6266481323627066,0.7972527527217358,0.7481848717961742,0.5860688991170253,0.6981315976655819,0.6878600478261321,0.7046838413967293,0.6389082087659763,0.6209575150868475,0.6854309701908863,0.7061790079728726,0.8952153198106048,0.8971824192795046,0.6103193880973101,0.6344985594602812,-0.7561893234139689,0.5044861926914866,0.6255148380284066,0.6885191820430766,0.725557917562871,0.3338009470702807,0.7795398850069444,0.7025457210683484,-0.3006329555092585,0.6424796319963307,0.6651995873523091,0.4364732348713327,0.7958633242250855,0.62195265160404,0.6718621189611814,0.5398069267492731,0.5345597036651762,0.7212237034085437,0.40297757317022037,0.7425149283666741,0.6943965454379725,0.7524622450547398,0.7518041235061111,0.10265963972969855,0.5015061188961861,0.6991230203245918,0.7217350590035752,0.5381246790598089,0.7312728112606122,0.6997473518520817,0.4877741446716684,0.6726726873351739,0.6526872513938665,0.6729818747438903,0.6078218582788234,0.7431819620817381,0.6849232022874248,0.3113393368807374,0.6639453264194639,0.6086097455823472
