,ADANIGREEN.NS,ADANIPORTS.NS,APOLLOHOSP.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BANDHANBNK.NS,BHARTIARTL.NS,BIOCON.NS,BRITANNIA.NS,CESC.NS,CIPLA.NS,COALINDIA.NS,CROMPTON.NS,DABUR.NS,DIVISLAB.NS,DMART.NS,EICHERMOT.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,MGL.NS,MUTHOOTFIN.NS,NESTLEIND.NS,ONGC.NS,PIDILITIND.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
BIOCON.NS,0.5968516671591599,0.7840326316655033,0.6990613043537521,0.9100963103775197,0.8098276636862228,0.8073239480964336,0.8237549558823919,0.7227763930392329,0.6358649143939671,0.7878336289343613,1.0,0.5933017464881719,0.770243129243489,0.8118549497400563,0.7498055474350069,0.5808622723071473,0.8292201118255053,0.4418821247797012,0.7022165747678935,0.7348433837476948,0.7656402462472921,0.7629951665597127,0.6669122411890331,0.7826641170287518,0.7210688030118358,0.6960573743856497,0.7403403953356881,0.8435561061679951,0.7940906355869496,0.774184656087662,0.8064864347217148,0.6949038484665576,0.7364004696456353,0.8200133659744261,0.7751815316456239,0.6207915605995501,0.7145757488975771,0.7817715095450765,0.3824847294026896,0.4752637016666501,0.8328353259201617,0.6751080683883225,0.8512248719296032,0.7126186566739344,0.8104580246244927,0.7096645108844918,0.6052253269275945,0.8195119249566453,0.5700435790991034,0.5508779447925061,0.6798596111319826,0.7604265830635173,0.6418768695068159,0.7107795264126487,0.6989963326507374,0.7945572309192261,0.8303800121565937,0.7345819906143936,0.7533063250690224,0.7586868983263446,0.813547296186478
BRITANNIA.NS,0.30095008492263575,0.6365654417910468,0.7348225732138385,0.4848781019888831,0.7239896469050855,0.6270399498154787,0.6208228026443042,0.6140331822765324,0.4763288412134471,0.43327053872607996,0.5933017464881719,1.0,0.6639077841238153,0.56367620010731,0.6262603880736214,0.47314690191603465,0.6944991875164935,0.3060544506885199,0.4277733248543617,0.4448317829228246,0.5739983580271817,0.42780016888469147,0.4346872428969741,0.6275839439898463,0.7044551571115901,0.547394480222584,0.47970775370568713,0.5867905255901071,0.6174434210356338,0.4527906736072483,0.5532322468379776,0.5756384578580493,0.4536577820510464,0.6068584937474564,0.5559961017245222,0.37613391139385854,0.44596967760334694,0.5370365437092055,0.2965452720468981,0.33795917676635634,0.5041514267789351,0.5256399200354938,0.6593350248467756,0.5985999352695908,0.563352220016492,0.5439519123655127,0.49190605825122635,0.46898077207938293,0.5084665012711568,0.3675189500974402,0.43782978095611136,0.5568459495286452,0.4760450946161555,0.6147688690489674,0.6373232544370725,0.5868143390825097,0.5499163981372418,0.5832075281979476,0.522866806610348,0.5609364726205781,0.6321501292706209
CESC.NS,0.5259602923545383,0.9076091001849421,0.818020155892236,0.8175929646555807,0.9180538508252408,0.9090934501149247,0.9343953580671647,0.9069078729418127,0.7941681568411935,0.6749231773218353,0.770243129243489,0.6639077841238153,1.0,0.9194953054369738,0.8694873844171439,0.8107450607559321,0.8840093937146825,0.5372802993552328,0.8292632829568034,0.7693937246147772,0.8648397288695586,0.759314386676384,0.7513644794666923,0.9000235743195194,0.8973688178914533,0.8376933876096218,0.824499513754286,0.9119335853903795,0.9475593374613812,0.7934356207554226,0.8663341404899002,0.7513406024422297,0.8313545923189776,0.8173538864401336,0.9124803878960173,0.6245965345320835,0.8136192224886237,0.8554081645875274,0.6518512428500656,0.5307932588399861,0.8166856793868646,0.7932600883955846,0.8892163256806784,0.8354314582380823,0.8553646880587632,0.8563532922880521,0.7683153005592904,0.8488144333001659,0.7524447960297032,0.8145668159568558,0.6825173010260743,0.7832682086887468,0.8159095263272103,0.8866299085204002,0.9094107113162865,0.8692692082455771,0.8739447254584402,0.8053921506583173,0.8973427135086112,0.854924389140943,0.9259228089424865
CIPLA.NS,0.6580227780871333,0.8651253585406293,0.7704748837706356,0.9065309882275151,0.8588442242605246,0.9044213690180644,0.8852301736575585,0.8525389572748169,0.7187724311134609,0.7896353342009397,0.8118549497400563,0.5636762001073101,0.9194953054369738,1.0,0.8814748199458017,0.8549822903833197,0.88541589280764,0.4665239161581772,0.800498276643116,0.7115004476837381,0.906546155207226,0.7947813409612943,0.7485870074851597,0.875193972644139,0.8025161167556266,0.8251770983263005,0.8503281471070874,0.8812016476758164,0.8899966719902732,0.8526765899551835,0.8607500411926827,0.6914657852740985,0.780998463093349,0.8602898802917086,0.8568066085871532,0.6213086095552008,0.8084324380329552,0.8674787361588431,0.7606380065684721,0.5271343215665615,0.8578315926916062,0.8012359202632328,0.8334538029442806,0.797070187863954,0.892966797662702,0.8763020507455365,0.7074663116592146,0.8002592717370864,0.7374503665692744,0.8419713756048578,0.7628888129263601,0.8396896897591571,0.7837715069307524,0.8429284685572886,0.7761621329485479,0.8495703265817052,0.8907943521074346,0.8504149110210307,0.7979662219765578,0.861684514268192,0.9281942716302798
COALINDIA.NS,0.5273021348069717,0.8934690208924765,0.9012732558833466,0.8110324092812262,0.8815583724482847,0.8791563106290942,0.9201479977394069,0.8662712158400488,0.7590799402150099,0.6956633639256478,0.7498055474350069,0.6262603880736214,0.8694873844171439,0.8814748199458017,1.0,0.7912872852809477,0.8752427894835741,0.4996946852908027,0.7691148205107753,0.7374655052485595,0.8676030131313995,0.709052390971932,0.7269159145984065,0.8887485764379326,0.8892185894834972,0.8460122513226651,0.8893997222052678,0.8752514964489256,0.8901078293161219,0.7556390720781879,0.8503650439226353,0.7062368197783824,0.7412225709259544,0.796803412921051,0.8269312598120611,0.5614243166431373,0.7273336139215962,0.8050392978786786,0.6058410652895959,0.6223095086405038,0.769253608945833,0.8133971349676428,0.7732474277806051,0.7996544661050824,0.83044594559288,0.7931871506336357,0.7244484388794028,0.7773858697093742,0.7397783710976282,0.797051372236601,0.6866613129582563,0.8085827760835219,0.7719296527363526,0.8894243337977423,0.8409166893832333,0.8301785788994105,0.8630530878206911,0.772409122542742,0.8536849132129045,0.8452479376394522,0.8827590891892995
CROMPTON.NS,0.49813318343042534,0.7373858124514989,0.6670393557048434,0.7293325913512062,0.6711108282963635,0.7656886675451405,0.7434133725523782,0.7114491365865541,0.6086832113928451,0.6102516760151336,0.5808622723071473,0.47314690191603465,0.8107450607559322,0.8549822903833197,0.7912872852809477,1.0,0.7170796464459442,0.34984082947770767,0.6675838965037111,0.589086704333665,0.7972664657054621,0.6295308466575772,0.5966563592485872,0.762901905097861,0.6855924606396255,0.7633990565255546,0.73504956392458,0.7059245024561888,0.7605125618622431,0.6861730671994279,0.7658379144468734,0.579348831338641,0.726994252111285,0.7082537800495353,0.7459719504935531,0.5277198700950074,0.832020368783144,0.7063263727051381,0.6943020947110877,0.46085806391031847,0.645446934613265,0.7758696477157607,0.7018102529638933,0.6547373558567103,0.7309514027988997,0.7296156079291116,0.6114658082743573,0.5904765178768606,0.6224310338683309,0.806932514415912,0.6361127353930801,0.6378532244097492,0.7187157631234985,0.7272813996630599,0.6918562775599874,0.7238132393885152,0.6958199091967814,0.7240363638625961,0.6585959569174421,0.7239374273758717,0.7986770309255495
DABUR.NS,0.6860157313367481,0.8515401264131024,0.8601411992005767,0.8537114188579483,0.9305675875777852,0.9345981186990125,0.8946063372187437,0.8843007608186139,0.7267069996076925,0.8350096773238417,0.8292201118255053,0.6944991875164935,0.8840093937146825,0.8854158928076399,0.8752427894835741,0.7170796464459442,1.0,0.5007548599832554,0.7756921194158231,0.7171709610703191,0.9290481546329041,0.821614718416732,0.6938494462228634,0.9063917650329172,0.8479652602317446,0.8177183993441057,0.8325576683557266,0.8937012508562939,0.9115088926103637,0.8485269736842694,0.8590788238145614,0.7686800926310283,0.7950610745423844,0.8970700508215451,0.8535257169756815,0.6331967089444329,0.8242476016232647,0.8999900947529094,0.4654916907304737,0.5273682906930038,0.8821703028006938,0.8239226549624852,0.8613764372158346,0.8136624775471186,0.9298677626316327,0.821004594801017,0.7564717433400276,0.7983020534553078,0.8112871568633702,0.6628522295779604,0.8210571952589554,0.9415893061823501,0.7838776955902488,0.8224930174859362,0.8023302756397263,0.8649315926229896,0.9140738184856692,0.9099719988744763,0.8100489143476309,0.9073655195318051,0.9332074630221687
DIVISLAB.NS,0.289675228387639,0.578507084336832,0.5029687363345869,0.4665166368722484,0.5065159320957331,0.4956074853337925,0.5416355880628746,0.46840147079665084,0.3707248144585626,0.34548559718760363,0.4418821247797012,0.3060544506885199,0.5372802993552328,0.46652391615817723,0.4996946852908027,0.3498408294777077,0.5007548599832554,1.0,0.3398023214369775,0.3880055457915237,0.48778950913652724,0.4321556683395492,0.7349276738195881,0.6202857730383295,0.5336151258636225,0.5974233502932395,0.500431526555687,0.7118148048716407,0.6197827734102802,0.543251470741807,0.5534670689991277,0.4180051389371052,0.6459857630962522,0.530345499702182,0.6062304968728227,0.4384491943794234,0.5375267325687416,0.5200599745287817,0.24845115023297543,0.4062138939900177,0.5298271222193919,0.5189634430205443,0.5363838913936656,0.43615120269502694,0.4748395597590386,0.5230739157655502,0.4608664531670749,0.5775681212561735,0.37293798572039955,0.40167247316686255,0.37653414844661987,0.41425582288740215,0.4183066070116774,0.4633870167688651,0.6968565576687599,0.5560131542367893,0.5357428911896889,0.4397809133950982,0.6421652341886721,0.48054864179718076,0.547470635049576
DMART.NS,0.5852200169507429,0.7338777327519092,0.667919151740791,0.7596255685842425,0.7787090404041469,0.8416056249324425,0.8750811052801134,0.8175639195991802,0.8764554704371204,0.7141230811426927,0.7022165747678933,0.4277733248543617,0.8292632829568034,0.8004982766431159,0.7691148205107753,0.6675838965037112,0.775692119415823,0.3398023214369775,1.0,0.9122928997958392,0.7638232123385511,0.7317577927207892,0.6169240632756133,0.7547928183679922,0.7110220321659347,0.6504188476128837,0.8158964926828619,0.7769046172268099,0.8022134894413862,0.7579990413360208,0.7421673937825881,0.612478435574481,0.6850674601947269,0.7476315105611886,0.7353323009768694,0.5476953229590472,0.7212430651166563,0.7685449831851026,0.506579012013783,0.41103803917188075,0.7556703513209799,0.6890041905138885,0.711706498419686,0.7381405520609111,0.8020562251611666,0.7054040661118276,0.7430195947046969,0.7795992110509168,0.6502267757652116,0.6866355910991512,0.6904693782845236,0.7505004070740877,0.7531835246268443,0.7872461996777212,0.6563086088554502,0.7162418240807985,0.8493464144686463,0.7615518750098225,0.8514094608940705,0.8474783784191047,0.7906392488727552
EICHERMOT.NS,0.5529078278597505,0.7061289396351784,0.6652902484651617,0.7875003612401409,0.7044101251415119,0.758898769632905,0.8455268918358156,0.6890991795400815,0.8617509394824777,0.6847738235864883,0.7348433837476948,0.44483178292282455,0.7693937246147772,0.711500447683738,0.7374655052485596,0.589086704333665,0.7171709610703191,0.3880055457915237,0.912292899795839,1.0,0.7052941348706618,0.7302470007794513,0.6387418442038942,0.73509961320266,0.6636513505201667,0.6363063783747814,0.796879263757676,0.7874349391194709,0.7911982342410026,0.7671018136890905,0.8004886105302151,0.6946095938996439,0.7374189061469851,0.7435596692112052,0.735477819850863,0.7027397968175627,0.6866017006467772,0.7358220618545368,0.3672638879207467,0.43582074853980485,0.7314598714890671,0.6515066436912008,0.7877839797791927,0.6184400169876546,0.7517686970791424,0.6486600418363299,0.7089048380951365,0.7793323896316747,0.5682170209522854,0.576425898545552,0.6526167288032033,0.6920168568490789,0.6843932115962987,0.7003520865562605,0.6994334687841032,0.7579804229021275,0.7983781229538606,0.7146290063125854,0.8554159996968879,0.8318178023399229,0.7591233698369991
