kdcode,dt,close,open,high,low,prev_close,volume
AAPL,2023-11-02,177.57000732421875,175.52000427246094,177.77999877929688,175.4600067138672,173.97000122070312,77334800.0
AAPL,2023-11-03,176.64999389648438,174.24000549316406,176.82000732421875,173.35000610351562,177.57000732421875,79829200.0
AAPL,2023-11-06,179.22999572753906,176.3800048828125,179.42999267578125,176.2100067138672,176.64999389648438,63841300.0
AAPL,2023-11-07,181.82000732421875,179.17999267578125,182.44000244140625,178.97000122070312,179.22999572753906,70530000.0
AAPL,2023-11-08,182.88999938964844,182.35000610351562,183.4499969482422,181.58999633789062,181.82000732421875,49340300.0
AAPL,2023-11-09,182.41000366210938,182.9600067138672,184.1199951171875,181.80999755859375,182.88999938964844,53763500.0
AAPL,2023-11-10,186.39999389648438,183.97000122070312,186.57000732421875,183.52999877929688,182.41000366210938,66133400.0
AAPL,2023-11-13,184.8000030517578,185.82000732421875,186.02999877929688,184.2100067138672,186.39999389648438,43627500.0
AAPL,2023-11-14,187.44000244140625,187.6999969482422,188.11000061035156,186.3000030517578,184.8000030517578,60108400.0
AAPL,2023-11-15,188.00999450683594,187.85000610351562,189.5,187.77999877929688,187.44000244140625,53790500.0
AAPL,2023-11-16,189.7100067138672,189.57000732421875,190.9600067138672,188.64999389648438,188.00999450683594,54412900.0
AAPL,2023-11-17,189.69000244140625,190.25,190.3800048828125,188.57000732421875,189.7100067138672,50922700.0
AAPL,2023-11-20,191.4499969482422,189.88999938964844,191.91000366210938,189.8800048828125,189.69000244140625,46505100.0
AAPL,2023-11-21,190.63999938964844,191.41000366210938,191.52000427246094,189.74000549316406,191.4499969482422,38134500.0
AAPL,2023-11-22,191.30999755859375,191.49000549316406,192.92999267578125,190.8300018310547,190.63999938964844,39617700.0
AAPL,2023-11-23,,,,,191.30999755859375,
AAPL,2023-11-27,189.7899932861328,189.9199981689453,190.6699981689453,188.89999389648438,189.97000122070312,40552600.0
AAPL,2023-11-28,190.39999389648438,189.77999877929688,191.0800018310547,189.39999389648438,189.7899932861328,38415400.0
AAPL,2023-11-29,189.3699951171875,190.89999389648438,192.08999633789062,188.97000122070312,190.39999389648438,43014200.0
AAPL,2023-11-30,189.9499969482422,189.83999633789062,190.32000732421875,188.19000244140625,189.3699951171875,48794400.0
AAPL,2023-12-01,191.24000549316406,190.3300018310547,191.55999755859375,189.22999572753906,189.9499969482422,45704800.0
AAPL,2023-12-04,189.42999267578125,189.97999572753906,190.0500030517578,187.4499969482422,191.24000549316406,43389500.0
AAPL,2023-12-05,193.4199981689453,190.2100067138672,194.39999389648438,190.17999267578125,189.42999267578125,66628400.0
AAPL,2023-12-06,192.32000732421875,194.4499969482422,194.75999450683594,192.11000061035156,193.4199981689453,41089700.0
