run_id,created_at,split,batch_index,market,model_name,policy,evaluation_start,evaluation_end,arr,avol,sharpe,mdd,cr,ir,benchmark_arr,benchmark_avol,benchmark_sharpe,benchmark_mdd,benchmark_cr
epoch1_test_20251128_015402_0,2025-11-28T01:54:02.157418,epoch1_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-26,0.2595744774351716,0.1673520296849317,1.3796047062451222,-0.1210946324973841,2.14356715968215,-0.0038830189933369,,,,,
final_test_20251128_015405_0,2025-11-28T01:54:05.178266,final_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-26,0.2739649627369185,0.1665602041154308,1.4544315716487917,-0.0989675107433196,2.768231318331013,0.0424769525342964,,,,,
epoch1_test_20251204_085908_0,2025-12-04T08:59:08.360337,epoch1_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2857356471430785,0.1535509054615437,1.6376094653362494,-0.1078064479864812,2.650450436683615,0.5650638356313548,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch2_test_20251204_091130_0,2025-12-04T09:11:30.773403,epoch2_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2505985049069155,0.1553120352470088,1.44046460856684,-0.1108291740175309,2.261123996712959,0.4298591693476137,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch3_test_20251204_092349_0,2025-12-04T09:23:49.126160,epoch3_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.306590351498863,0.1637381273461598,1.6340903997230698,-0.0999888305080121,3.066245999089828,0.6133663817948569,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch4_test_20251204_093610_0,2025-12-04T09:36:10.498763,epoch4_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2158143619836008,0.1605322031875335,1.2177612464321188,-0.1145791793093389,1.883539080001165,0.2897214182090074,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch5_test_20251204_094831_0,2025-12-04T09:48:31.463803,epoch5_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2500692247422502,0.1569926865713577,1.422345259556842,-0.1118743164100857,2.235269298322219,0.4259745367883439,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch6_test_20251204_100103_0,2025-12-04T10:01:03.947017,epoch6_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2721751780953478,0.1565186493863869,1.5387507616173772,-0.0997245662072385,2.729269110378861,0.5079195842516407,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch7_test_20251204_101344_0,2025-12-04T10:13:44.376550,epoch7_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2840954139523199,0.1513304910066671,1.653193707636457,-0.104630131071241,2.715235191274717,0.5621149219219505,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch8_test_20251204_102633_0,2025-12-04T10:26:33.994270,epoch8_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2571247497427267,0.152181804602254,1.504326311339717,-0.0976023449678534,2.6344115997152926,0.4556921315996915,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch9_test_20251204_103921_0,2025-12-04T10:39:21.857562,epoch9_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2672661909523917,0.1560802932776024,1.5182783252196992,-0.1028054449565658,2.599727972242216,0.4871229659780031,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
epoch10_test_20251204_105204_0,2025-12-04T10:52:04.553230,epoch10_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.3017182749792166,0.1519055781321832,1.7367574590912715,-0.1016190658685528,2.9691108887922453,0.6232840935092621,0.1402460635795086,0.1446386509341134,0.9076292267175576,0.0,0.0
final_test_20251204_105206_0,2025-12-04T10:52:06.018657,final_test,0,custom,SmartFolio,HGAT,2024-01-02,2024-12-31,0.2796167294695153,0.1509560939807624,1.634125891456272,-0.10775901486523365,2.5948337577065974,0.5474194134820982,0.14024606357950864,0.14463865093411346,0.9076292267175576,0.0,0.0
